method,checkpoint,train_ann_acc,val_ann_acc,test_ann_acc,train_val_gap,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median,snn_sigma0_acc,snn_sigma0_std,snn_sigma1_acc,snn_sigma1_std,snn_drop,best_epoch
weights_only,best_val,92.624,89.29,88.17,3.333999999999989,13,7.787971496582031,7.508891582489014,7.895083427429199,1.1016225814819336,1.1043503284454346,1.0901968479156494,87.16,0.0,53.843333333333334,0.6406507108661735,33.31666666666666,28
weights_only,final,92.6,88.8,88.23,3.799999999999997,13,7.787773609161377,7.508434772491455,7.89499568939209,1.1017385721206665,1.1044695377349854,1.0902079343795776,87.34,0.0,53.88666666666668,0.36909799963333695,33.453333333333326,28
all_parameters,best_val,92.67,89.58,88.56,3.0900000000000034,13,6.669275760650635,6.356104850769043,6.7803425788879395,0.9627177715301514,0.9656310677528381,0.95237797498703,86.11,0.0,56.15,0.05196152422706828,29.96,29
all_parameters,final,92.622,89.06,88.77,3.5619999999999976,13,6.669060230255127,6.355823040008545,6.780155658721924,0.9627175331115723,0.9656317234039307,0.9523864984512329,85.96,0.0,56.84666666666667,0.08736894948054141,29.113333333333323,29
