site,method,method_label,sigma_scale,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
post_input_if,manual_l2_all,Manual L2 (all params),absolute,88.424000,1,36.913333,51.510667,0.417458,64.704667,0.731755
post_input_if,wd_weight_only,WD (weights only),absolute,87.400000,1,44.768000,42.632000,0.512220,69.506333,0.795267
