arch,regularizer,DRS_mean,DRS_std,DRS_sem,AUC_RS_mean,AUC_RS_std,n_seeds
fc3rev_h128,mne_l2,0.999774,0.000126,0.000057,0.999067,0.000287,5
fc3rev_h128,no_regularization,0.999530,0.000055,0.000025,0.997718,0.000212,5
fc3rev_h128,weight_decay,0.999768,0.000058,0.000026,0.998958,0.000554,5
fc3rev_h16,mne_l2,0.999262,0.000585,0.000262,0.997585,0.000555,5
fc3rev_h16,no_regularization,0.996500,0.002413,0.001079,0.989850,0.004740,5
fc3rev_h16,weight_decay,0.998900,0.000699,0.000313,0.995828,0.002126,5
fc3rev_h256,mne_l2,0.999775,0.000048,0.000021,0.998810,0.000500,5
fc3rev_h256,no_regularization,0.999522,0.000181,0.000081,0.998135,0.000515,5
fc3rev_h256,weight_decay,0.999695,0.000266,0.000119,0.998949,0.000608,5
fc3rev_h32,mne_l2,0.999698,0.000143,0.000064,0.998333,0.000379,5
fc3rev_h32,no_regularization,0.998826,0.000609,0.000272,0.995524,0.001203,5
fc3rev_h32,weight_decay,0.999590,0.000181,0.000081,0.998371,0.000754,5
fc3rev_h4,mne_l2,0.985314,0.017915,0.008012,0.978630,0.016603,5
fc3rev_h4,no_regularization,0.984252,0.024661,0.011029,0.975756,0.029574,5
fc3rev_h4,weight_decay,0.994446,0.006722,0.003006,0.987850,0.014630,5
fc3rev_h64,mne_l2,0.999691,0.000056,0.000025,0.998228,0.000268,5
fc3rev_h64,no_regularization,0.999309,0.000295,0.000132,0.996071,0.000739,5
fc3rev_h64,weight_decay,0.999771,0.000111,0.000050,0.998817,0.000211,5
fc3rev_h8,mne_l2,0.998630,0.000477,0.000213,0.995300,0.000946,5
fc3rev_h8,no_regularization,0.992841,0.004403,0.001969,0.981077,0.005735,5
fc3rev_h8,weight_decay,0.996708,0.003298,0.001475,0.990721,0.007682,5
