dataset,arch,variant,variant_label,regularizer,reg_coeff,hinge_tau,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.5,1.360000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,2.75,1.290000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay,weight_decay,weight_decay,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,3,1.120000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,63.470000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,63.470000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,63.370000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,63.370000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,63.420000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.25,63.110000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar100,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1.5,62.770000,/scratch/gs14/sl9144/qcfs_checkpoints/cifar100-checkpoints/vgg16_L[16]_mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar100_vgg16_four_regs_sigma0_3_seed42/cifar100/mneablate_cifar100_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar100_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
