arch,hidden_size,regularizer,if_mode,L,T,acc_mean,acc_std,n_seeds
fc3_h128,128,weight_decay,normal,4,0,97.690000,0.079687,5
fc3_h128,128,weight_decay,normal,4,16,97.842000,0.082885,5
fc3_h128,128,weight_decay,normal,16,0,97.812000,0.104738,5
fc3_h128,128,weight_decay,normal,16,16,97.796000,0.130307,5
fc3_h16,16,weight_decay,normal,4,0,94.372000,1.827107,5
fc3_h16,16,weight_decay,normal,4,16,94.916000,1.643953,5
fc3_h16,16,weight_decay,normal,16,0,93.966000,1.360599,5
fc3_h16,16,weight_decay,normal,16,16,93.876000,1.353229,5
fc3_h32,32,weight_decay,normal,4,0,97.028000,0.229608,5
fc3_h32,32,weight_decay,normal,4,16,97.258000,0.217187,5
fc3_h32,32,weight_decay,normal,16,0,97.168000,0.292181,5
fc3_h32,32,weight_decay,normal,16,16,97.176000,0.316433,5
fc3_h64,64,weight_decay,normal,4,0,97.752000,0.086718,5
fc3_h64,64,weight_decay,normal,4,16,97.912000,0.061400,5
fc3_h64,64,weight_decay,normal,16,0,97.726000,0.114368,5
fc3_h64,64,weight_decay,normal,16,16,97.710000,0.117686,5
fc3_h8,8,weight_decay,normal,4,0,88.278000,4.612924,5
fc3_h8,8,weight_decay,normal,4,16,88.930000,4.140797,5
fc3_h8,8,weight_decay,normal,16,0,77.424000,18.498959,5
fc3_h8,8,weight_decay,normal,16,16,77.160000,19.232587,5
