sigma,lambda,clean_mean,clean_mean_abs,clean_std,clean_rms,clean_min,clean_max,sigma_over_rms,sigma_over_lambda,snr_linear,snr_db
0.0,0.39913925528526306,0.07031884044408798,0.07031884044408798,0.1520600920659122,0.16753211907122406,0.0,0.39913925528526306,0.0,0.0,inf,inf
1.0,0.39913925528526306,0.07031884044408798,0.07031884044408798,0.1520600920659122,0.16753211907122406,0.0,0.39913925528526306,5.969004663367645,2.505391255704239,0.16753211907122406,-15.518038363807836
2.0,0.39913925528526306,0.07031884044408798,0.07031884044408798,0.1520600920659122,0.16753211907122406,0.0,0.39913925528526306,11.93800932673529,5.010782511408478,0.08376605953561203,-21.538638277087458
3.0,0.39913925528526306,0.07031884044408798,0.07031884044408798,0.1520600920659122,0.16753211907122406,0.0,0.39913925528526306,17.907013990102936,7.516173767112717,0.05584403969040802,-25.060463458201085
5.0,0.39913925528526306,0.07031884044408798,0.07031884044408798,0.1520600920659122,0.16753211907122406,0.0,0.39913925528526306,29.845023316838226,12.526956278521194,0.03350642381424481,-29.497438450528215
