eligible,config,family,val_clean,val_sigma5,val_auc,test_clean,test_sigma5,test_auc,clean_energy_mJ,clean_fire
True,dual_oracle_sigma2,dual_oracle,69.7,45.46,305.55500000000006,63.71,43.04,282.67125000000004,0.53150302,0.107768
False,interp_keep_mne_thresh_eta0.0,interp_keep_mne_thresh_eta0.0,63.08,36.42,288.5174999999999,57.62,35.64,267.105,0.46355972,0.084739
False,interp_keep_mne_thresh_eta1.0,interp_keep_mne_thresh_eta1.0,60.76,40.16,279.3400000000001,56.23,38.17,258.575,0.48552151,0.094821
False,interp_lerp_all_eta1.0,interp_lerp_all_eta1.0,60.76,40.16,279.3400000000001,56.23,38.17,258.575,0.48552151,0.094821
False,interp_keep_mne_thresh_eta0.9,interp_keep_mne_thresh_eta0.9,59.02,38.6,272.0275,54.15,36.12,249.12124999999997,0.48393141,0.095161
False,interp_lerp_all_eta0.9,interp_lerp_all_eta0.9,59.02,37.08,269.57249999999993,53.89,34.81,247.07999999999998,0.48565094,0.096475
False,onesided_a1_tau0.5_b0.0005,onesided,68.74,8.86,263.0,63.64,9.05,245.37375000000003,0.52634619,0.10591
False,onesided_a1_tau1_b0.0005,onesided,69.34,6.92,254.60749999999996,63.62,7.39,237.08625000000004,0.52579187,0.105323
False,onesided_a0.5_tau0.5_b0.0005,onesided,68.68,8.06,253.0675,63.72,8.06,236.60250000000005,0.52422772,0.104157
False,onesided_a0.5_tau1_b0.0005,onesided,69.14,6.76,251.78750000000002,63.39,7.24,233.00625,0.52526886,0.10524
False,twostage_calibrated_balanced,twostage_calibrated_balanced,65.36,8.92,249.145,59.85,9.14,232.28625000000002,0.53061417,0.107902
False,twostage_calibrated_l2_dominant,twostage_calibrated_l2_dominant,60.82,14.82,247.33,56.74,15.22,233.86750000000004,0.53541652,0.109108
False,interp_keep_mne_thresh_eta0.8,interp_keep_mne_thresh_eta0.8,52.94,32.14,244.65000000000003,49.01,30.88,226.99874999999997,0.47981257,0.094463
False,onesided_a1_tau1.5_b0.0005,onesided,69.26,5.16,243.82250000000005,63.84,5.65,226.14375,0.52991413,0.107261
False,onesided_a0.25_tau0.5_b0.0005,onesided,69.28,4.96,243.535,63.9,5.24,227.32000000000005,0.52760673,0.106159
False,onesided_a0.1_tau0.5_b0.0005,onesided,69.28,5.08,241.25000000000003,63.72,5.68,223.94500000000002,0.52910814,0.106965
False,onesided_a0.25_tau1.5_b0.0005,onesided,69.22,4.42,241.19500000000002,63.7,5.04,224.97750000000002,0.52719435,0.105594
False,onesided_a0.5_tau1.5_b0.0005,onesided,69.52,5.02,240.81249999999997,63.72,5.68,223.72999999999996,0.52652927,0.105693
False,onesided_a0.25_tau1_b0.0005,onesided,69.64,4.76,240.765,63.75,5.34,225.08874999999998,0.52568337,0.105329
False,interp_lerp_all_eta0.8,interp_lerp_all_eta0.8,53.04,28.4,239.415,48.91,27.37,222.45000000000005,0.48389108,0.097207
