arch,c1,c2,size_label,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.0,95.33,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.05,95.34,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.1,95.22,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.15,95.23,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.2,95.05,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.25,94.84,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.3,94.7,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.35,94.34,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.4,94.48,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.45,93.83,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
cnn2_c8_c16,8,16,c8c16,mne_l2,40,16,16,rate_uniform,0.5,93.99,mnist-checkpoints/cnn2_c8_c16_L[16]_strict_seed40_ablation_mne_l2_l16_cnn2_c8_c16_rc5em02.pth,noise3_exp/cnn_strict_seed_three_regs_noise_sweep_rate_uniform_L16_T16/cnn2_c8_c16/mne_l2/seed_40/noise_sweep_matrix_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_40.csv
