L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,29.240000,22.450000,17.580000,13.820000,11.030000,8.810000,7.520000,6.210000,5.500000,4.600000,4.100000,3.330000,3.060000,2.610000,2.660000,2.160000,2.010000
