dataset,method,label,seed,sigma,acc,checkpoint,matrix_csv
cifar10,pc_mne,PC-MNE,42,0.70,82.260000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.75,81.350000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.80,79.420000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.85,77.640000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.90,75.750000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,0.95,73.740000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,pc_mne,PC-MNE,42,1.00,71.110000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_pc_mne_l16_vgg16_rc1ep00.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/PC-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.00,79.250000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.05,79.360000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,margin_mne,Margin-MNE,42,0.10,79.200000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_pcmnecmp_seed42_margin_mne_l16_vgg16_rc1ep00_tau2.pth,../important_results/cifar10_vgg16_pc_margin_mne_pre_first_conv_seed42/Margin-MNE/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
