L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,21.160000,14.040000,9.870000,7.430000,5.840000,4.570000,4.090000,3.360000,2.970000,2.560000,2.290000,2.110000,1.950000,1.880000,1.630000,1.540000,1.400000
