arch,scale_label,regularizer,acc_mean,acc_sem,acc_std,n_seeds,data_source
fc3_h4,h4,mne_l2,47.574,8.654983304432191,19.353131012836137,5,
fc3_h4,h4,weight_decay,14.34,2.9976073792276403,6.702853869807995,5,
fc3_h4,h4,no_regularization,16.37,2.0191532878907434,4.514964008715905,5,
fc3_h8,h8,mne_l2,57.558,6.165904151055222,13.787380824507608,5,
fc3_h8,h8,weight_decay,22.398,5.058214507116123,11.310511482687245,5,
fc3_h8,h8,no_regularization,14.764000000000001,2.5478963872182874,5.697269521446217,5,
fc3_h16,h16,mne_l2,73.93,1.255344574210603,2.807035803120438,5,
fc3_h16,h16,weight_decay,51.108,4.574767097896896,10.229490212126896,5,
fc3_h16,h16,no_regularization,26.182000000000002,2.563666124907844,5.732531726907406,5,
fc3_h32,h32,mne_l2,83.5,0.598138779883065,1.337478971797317,5,
fc3_h32,h32,weight_decay,81.312,0.7842027798981595,1.7535307239965903,5,
fc3_h32,h32,no_regularization,53.13,1.8118719601561253,4.051468869434887,5,
fc3_h64,h64,mne_l2,87.02,0.6096474390990267,1.363213116134087,5,
fc3_h64,h64,weight_decay,85.882,1.6454160568075187,3.6792621542912674,5,
fc3_h64,h64,no_regularization,59.56,4.925055329638439,11.012758510019184,5,
fc3_h128,h128,mne_l2,85.42,0.9133290754158656,2.0422658984569075,5,
fc3_h128,h128,weight_decay,85.336,1.0058558544841296,2.2491620661926506,5,
fc3_h128,h128,no_regularization,56.926,4.291226631162702,9.59547445413722,5,
