dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,weight_decay,weight_decay,weight_decay,none,none,0,5,90.934000,0.136125
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.25,5,90.420000,0.212955
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.5,5,84.512000,0.920038
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.75,5,57.916000,5.571807
cifar10,weight_decay,weight_decay,weight_decay,none,none,1,5,21.332000,3.091823
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.25,5,13.026000,0.994877
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.5,5,11.180000,1.014224
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.75,5,10.692000,0.786842
cifar10,weight_decay,weight_decay,weight_decay,none,none,2,5,10.376000,0.509539
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.25,5,10.198000,0.319406
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.5,5,10.086000,0.150433
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.75,5,10.016000,0.041593
cifar10,weight_decay,weight_decay,weight_decay,none,none,3,5,10.006000,0.013416
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.25,5,10.004000,0.005477
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.5,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.75,5,10.004000,0.008944
cifar10,weight_decay,weight_decay,weight_decay,none,none,4,5,9.998000,0.004472
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.25,5,10.004000,0.008944
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.5,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.75,5,10.002000,0.004472
cifar10,weight_decay,weight_decay,weight_decay,none,none,5,5,9.994000,0.013416
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,5,91.436000,0.136492
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.25,5,91.336000,0.093167
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.5,5,91.360000,0.086313
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.75,5,91.216000,0.168315
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1,5,91.102000,0.088994
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.25,5,90.850000,0.096437
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.5,5,90.466000,0.133529
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,1.75,5,89.762000,0.191755
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2,5,88.806000,0.308917
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.25,5,87.416000,0.427586
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.5,5,85.428000,0.664771
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,2.75,5,82.384000,1.167981
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3,5,78.466000,1.618867
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3.25,5,73.246000,3.020915
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3.5,5,66.728000,4.327964
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,3.75,5,58.884000,5.566222
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,4,5,50.078000,7.429581
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,4.25,5,41.434000,8.323877
