method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.573765277862549
weights_only,best_val,gamma_rms,bns.0,1.2872158288955688
weights_only,best_val,gamma_rms,bns.1,1.167183756828308
weights_only,best_val,gamma_rms,bns.2,1.1901251077651978
weights_only,best_val,gamma_rms,bns.3,1.1323846578598022
weights_only,best_val,gamma_rms,bns.4,1.1632510423660278
weights_only,best_val,gamma_rms,bns.5,1.09828519821167
weights_only,best_val,gamma_rms,bns.6,1.046636939048767
weights_only,best_val,gamma_rms,bns.7,1.0813660621643066
weights_only,best_val,gamma_rms,bns.8,1.0415170192718506
weights_only,best_val,gamma_rms,bns.9,1.0626068115234375
weights_only,best_val,gamma_rms,bns.10,0.9532878994941711
weights_only,best_val,gamma_rms,bns.11,1.059656023979187
weights_only,best_val,gamma_rms,bns.12,0.9906774759292603
weights_only,best_val,gamma_rms,bns.13,1.0514808893203735
weights_only,best_val,gamma_rms,bns.14,1.0154705047607422
weights_only,best_val,gamma_rms,bns.15,1.04347825050354
weights_only,best_val,gamma_rms,bns.16,0.9835383296012878
weights_only,best_val,gamma_rms,bns.17,1.0455268621444702
weights_only,best_val,gamma_rms,bns.18,0.9978373646736145
weights_only,best_val,gamma_rms,bns.19,1.0331382751464844
weights_only,best_val,gamma_rms,bns.20,0.9731144309043884
weights_only,best_val,gamma_rms,bns.21,1.0270347595214844
weights_only,best_val,gamma_rms,bns.22,0.978955090045929
weights_only,best_val,gamma_rms,bns.23,1.0435495376586914
weights_only,best_val,gamma_rms,bns.24,1.0010203123092651
weights_only,best_val,gamma_rms,bns.25,1.0341413021087646
weights_only,best_val,gamma_rms,bns.26,0.990712583065033
weights_only,best_val,gamma_rms,bns.27,1.0328001976013184
weights_only,best_val,gamma_rms,bns.28,0.9736217260360718
weights_only,best_val,gamma_rms,bns.29,1.0251480340957642
weights_only,best_val,gamma_rms,bns.30,0.941118597984314
weights_only,best_val,gamma_rms,bns.31,1.028602957725525
weights_only,best_val,gamma_rms,bns.32,0.982185423374176
weights_only,best_val,gamma_rms,bns.33,1.0274291038513184
weights_only,best_val,gamma_rms,bns.34,0.9604350328445435
weights_only,best_val,gamma_rms,bns.35,1.0222232341766357
weights_only,best_val,gamma_rms,bns.36,0.9637101888656616
weights_only,best_val,gamma_rms,bns.37,1.0260306596755981
weights_only,best_val,gamma_rms,bns.38,0.9605721235275269
weights_only,best_val,gamma_rms,bns.39,1.0253846645355225
weights_only,best_val,gamma_rms,bns.40,0.9721067547798157
weights_only,best_val,gamma_rms,bns.41,1.026197075843811
weights_only,best_val,gamma_rms,bns.42,0.9483309984207153
weights_only,best_val,gamma_rms,bns.43,1.0266530513763428
weights_only,best_val,gamma_rms,bns.44,0.9700398445129395
weights_only,best_val,gamma_rms,bns.45,1.0194286108016968
weights_only,best_val,gamma_rms,bns.46,0.9809063673019409
weights_only,best_val,gamma_rms,bns.47,1.023479700088501
weights_only,best_val,gamma_rms,bns.48,0.993675708770752
weights_only,best_val,gamma_rms,bns.49,1.0219876766204834
weights_only,best_val,gamma_rms,bns.50,0.9778187870979309
weights_only,best_val,gamma_rms,bns.51,1.0200707912445068
weights_only,best_val,gamma_rms,bns.52,0.9882565140724182
weights_only,best_val,gamma_rms,bns.53,1.01710844039917
weights_only,best_val,gamma_rms,bns.54,0.9784289002418518
weights_only,best_val,gamma_rms,bns.55,1.0153957605361938
weights_only,best_val,gamma_rms,bns.56,0.9706860184669495
weights_only,best_val,gamma_rms,bns.57,1.0188263654708862
weights_only,best_val,gamma_rms,bns.58,0.976690948009491
weights_only,best_val,gamma_rms,bns.59,1.0173563957214355
weights_only,best_val,gamma_rms,bns.60,0.9667012095451355
weights_only,best_val,gamma_rms,bns.61,1.0171492099761963
weights_only,best_val,gamma_rms,bns.62,0.9636439681053162
weights_only,best_val,gamma_rms,bns.63,1.0193506479263306
weights_only,best_val,gamma_rms,bns.64,0.9618024826049805
weights_only,best_val,gamma_rms,bns.65,1.0179903507232666
weights_only,best_val,gamma_rms,bns.66,0.9611389636993408
weights_only,best_val,gamma_rms,bns.67,1.0144927501678467
weights_only,best_val,gamma_rms,bns.68,0.9863477945327759
weights_only,best_val,gamma_rms,bns.69,1.0163017511367798
weights_only,best_val,gamma_rms,bns.70,0.9657825827598572
weights_only,best_val,gamma_rms,bns.71,1.0144437551498413
weights_only,best_val,gamma_rms,bns.72,0.9641057252883911
weights_only,best_val,gamma_rms,bns.73,1.0161539316177368
weights_only,best_val,gamma_rms,bns.74,0.9685600996017456
weights_only,best_val,gamma_rms,bns.75,1.0169718265533447
weights_only,best_val,gamma_rms,bns.76,0.9923447370529175
weights_only,best_val,gamma_rms,bns.77,1.0191806554794312
weights_only,best_val,gamma_rms,bns.78,0.9548216462135315
weights_only,best_val,gamma_rms,bns.79,1.020159125328064
weights_only,best_val,gamma_rms,bns.80,0.9675339460372925
weights_only,best_val,gamma_rms,bns.81,1.0165796279907227
weights_only,best_val,gamma_rms,bns.82,0.952506422996521
weights_only,best_val,gamma_rms,bns.83,1.0196030139923096
weights_only,best_val,gamma_rms,bns.84,0.9515795111656189
weights_only,best_val,gamma_rms,bns.85,1.0143665075302124
weights_only,best_val,gamma_rms,bns.86,0.9565276503562927
weights_only,best_val,gamma_rms,bns.87,1.016474723815918
weights_only,best_val,gamma_rms,bns.88,0.944850504398346
weights_only,best_val,gamma_rms,bns.89,1.0171229839324951
weights_only,best_val,gamma_rms,bns.90,0.982720673084259
weights_only,best_val,gamma_rms,bns.91,1.0172220468521118
weights_only,best_val,gamma_rms,bns.92,0.9807872772216797
weights_only,best_val,gamma_rms,bns.93,1.0150238275527954
weights_only,best_val,gamma_rms,bns.94,0.9739727973937988
weights_only,best_val,gamma_rms,bns.95,1.0147984027862549
weights_only,best_val,gamma_rms,bns.96,0.9817711114883423
weights_only,best_val,gamma_rms,bns.97,1.0132577419281006
weights_only,best_val,gamma_rms,bns.98,0.9694215059280396
weights_only,best_val,gamma_rms,bns.99,1.0141431093215942
weights_only,best_val,gamma_rms,bns.100,0.9753867983818054
weights_only,best_val,gamma_rms,bns.101,1.0132408142089844
weights_only,best_val,gamma_rms,bns.102,0.9548685550689697
weights_only,best_val,gamma_rms,bns.103,1.0149391889572144
weights_only,best_val,gamma_rms,bns.104,0.9626094102859497
weights_only,best_val,gamma_rms,bns.105,1.0128982067108154
weights_only,best_val,gamma_rms,bns.106,0.9729214310646057
weights_only,best_val,gamma_rms,bns.107,1.012039065361023
weights_only,best_val,gamma_rms,bns.108,0.9817202687263489
weights_only,best_val,gamma_rms,bns.109,1.0136996507644653
weights_only,best_val,gamma_rms,bns.110,0.9651240706443787
weights_only,best_val,gamma_rms,bns.111,1.011386513710022
weights_only,best_val,gamma_rms,bns.112,0.9713495969772339
weights_only,best_val,gamma_rms,bns.113,1.0129022598266602
weights_only,best_val,gamma_rms,bns.114,0.962715208530426
weights_only,best_val,gamma_rms,bns.115,1.0134681463241577
weights_only,best_val,gamma_rms,bns.116,0.9614375233650208
weights_only,best_val,gamma_rms,bns.117,1.0136040449142456
weights_only,best_val,gamma_rms,bns.118,0.9568737149238586
weights_only,best_val,gamma_rms,bns.119,1.0124186277389526
weights_only,best_val,gamma_rms,bns.120,0.9630250930786133
weights_only,best_val,gamma_rms,bns.121,1.01409912109375
weights_only,best_val,gamma_rms,bns.122,0.9708470702171326
weights_only,best_val,gamma_rms,bns.123,1.01076078414917
weights_only,best_val,gamma_rms,bns.124,0.969728410243988
weights_only,best_val,gamma_rms,bns.125,1.0133233070373535
weights_only,best_val,gamma_rms,bns.126,0.9579313397407532
weights_only,best_val,gamma_rms,bns.127,1.0112035274505615
weights_only,best_val,gamma_rms,bns.128,0.955310583114624
weights_only,best_val,gamma_rms,bns.129,1.01185941696167
weights_only,best_val,gamma_rms,bns.130,0.954756498336792
weights_only,best_val,gamma_rms,bns.131,1.0119253396987915
weights_only,best_val,gamma_rms,bns.132,0.9603592753410339
weights_only,best_val,gamma_rms,bns.133,1.0113593339920044
weights_only,best_val,gamma_rms,bns.134,0.9663577079772949
weights_only,best_val,gamma_rms,bns.135,1.0106264352798462
weights_only,best_val,gamma_rms,bns.136,0.9732617735862732
weights_only,best_val,gamma_rms,bns.137,1.010694980621338
weights_only,best_val,gamma_rms,bns.138,0.9644234776496887
weights_only,best_val,gamma_rms,bns.139,1.0105153322219849
weights_only,best_val,gamma_rms,bns.140,0.9635553956031799
weights_only,best_val,gamma_rms,bns.141,1.0137169361114502
weights_only,best_val,gamma_rms,bns.142,0.9677138328552246
weights_only,best_val,gamma_rms,bns.143,1.0107619762420654
weights_only,best_val,gamma_rms,bns.144,0.942432165145874
weights_only,best_val,gamma_rms,bns.145,1.014819622039795
weights_only,best_val,gamma_rms,bns.146,0.9707098007202148
weights_only,best_val,gamma_rms,bns.147,1.0108436346054077
weights_only,best_val,gamma_rms,bns.148,0.9813104271888733
weights_only,best_val,gamma_rms,bns.149,1.010904312133789
weights_only,best_val,gamma_rms,bns.150,0.9699243903160095
weights_only,best_val,gamma_rms,bns.151,1.0117416381835938
weights_only,best_val,gamma_rms,bns.152,0.9726747870445251
weights_only,best_val,gamma_rms,bns.153,1.0105608701705933
weights_only,best_val,gamma_rms,bns.154,0.9646881222724915
weights_only,best_val,gamma_rms,bns.155,1.0126302242279053
weights_only,best_val,gamma_rms,bns.156,0.9642792344093323
weights_only,best_val,gamma_rms,bns.157,1.0115538835525513
weights_only,best_val,gamma_rms,bns.158,0.9706788063049316
weights_only,best_val,gamma_rms,bns.159,1.0992214679718018
weights_only,best_val,lambda,ifs.0,7.783751964569092
weights_only,best_val,lambda,ifs.1,7.80894660949707
weights_only,best_val,lambda,ifs.2,7.823732852935791
weights_only,best_val,lambda,ifs.3,7.846079349517822
weights_only,best_val,lambda,ifs.4,7.868863105773926
weights_only,best_val,lambda,ifs.5,7.89851713180542
weights_only,best_val,lambda,ifs.6,7.919833660125732
weights_only,best_val,lambda,ifs.7,7.909299850463867
weights_only,best_val,lambda,ifs.8,7.935323238372803
weights_only,best_val,lambda,ifs.9,7.937546730041504
weights_only,best_val,lambda,ifs.10,7.972530364990234
weights_only,best_val,lambda,ifs.11,7.939575672149658
weights_only,best_val,lambda,ifs.12,7.9880781173706055
weights_only,best_val,lambda,ifs.13,7.949402332305908
weights_only,best_val,lambda,ifs.14,7.9640116691589355
weights_only,best_val,lambda,ifs.15,7.9544878005981445
weights_only,best_val,lambda,ifs.16,8.025717735290527
weights_only,best_val,lambda,ifs.17,7.955161094665527
weights_only,best_val,lambda,ifs.18,7.998762607574463
