family,arch,size_label,hidden_size,c1,c2,regularizer,L,T,seed,if_mode,acc,checkpoint
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,40,normal,97.500000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed40_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,41,normal,97.510000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed41_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,42,normal,97.490000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed42_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,43,normal,97.650000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed43_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,4,0,44,normal,97.500000,mnist-checkpoints/cnn2_c2_c4_L[4]_strict_seed44_ablation_wd_l4_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,8,0,40,normal,97.940000,mnist-checkpoints/cnn2_c2_c4_L[8]_strict_seed40_ablation_wd_l8_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,8,0,41,normal,97.630000,mnist-checkpoints/cnn2_c2_c4_L[8]_strict_seed41_ablation_wd_l8_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,8,0,42,normal,97.760000,mnist-checkpoints/cnn2_c2_c4_L[8]_strict_seed42_ablation_wd_l8_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,8,0,43,normal,98.120000,mnist-checkpoints/cnn2_c2_c4_L[8]_strict_seed43_ablation_wd_l8_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,8,0,44,normal,97.970000,mnist-checkpoints/cnn2_c2_c4_L[8]_strict_seed44_ablation_wd_l8_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,16,0,40,normal,97.750000,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed40_ablation_wd_l16_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,16,0,41,normal,97.710000,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed41_ablation_wd_l16_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,16,0,42,normal,97.900000,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed42_ablation_wd_l16_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,16,0,43,normal,98.030000,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed43_ablation_wd_l16_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,16,0,44,normal,97.720000,mnist-checkpoints/cnn2_c2_c4_L[16]_strict_seed44_ablation_wd_l16_cnn2_c2_c4.pth
cnn2,cnn2_c2_c4,c2c4,,2,4,weight_decay,32,0,40,normal,97.790000,mnist-checkpoints/cnn2_c2_c4_L[32]_strict_seed40_ablation_wd_l32_cnn2_c2_c4.pth
