L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,20.400000,13.180000,9.380000,7.020000,5.670000,4.510000,3.970000,3.400000,3.120000,2.770000,2.470000,2.170000,2.110000,1.950000,1.880000,1.990000,1.880000
