site,method,method_label,sigma,n,acc_mean,acc_std
both,l1_all,L1 (all params),0,3,82.496667,1.134431
both,l1_all,L1 (all params),0.25,3,76.942222,0.771041
both,l1_all,L1 (all params),0.5,3,52.466667,14.053613
both,l1_all,L1 (all params),1,3,27.855556,15.096624
both,no_reg_current,No Reg,0,3,82.766667,0.625486
both,no_reg_current,No Reg,0.25,3,75.877778,1.266778
both,no_reg_current,No Reg,0.5,3,49.298889,15.614195
both,no_reg_current,No Reg,1,3,25.085556,12.513838
both,old_detach_current,MNE-L2,0,3,82.770000,0.726430
both,old_detach_current,MNE-L2,0.25,3,70.852222,7.891306
both,old_detach_current,MNE-L2,0.5,3,49.385556,17.703504
both,old_detach_current,MNE-L2,1,3,28.237778,17.321906
both,wd_weight_only,WD (weights only),0,3,82.890000,0.648383
both,wd_weight_only,WD (weights only),0.25,3,75.092222,2.233354
both,wd_weight_only,WD (weights only),0.5,3,46.827778,17.072864
both,wd_weight_only,WD (weights only),1,3,22.524444,12.074037
post_input_if,l1_all,L1 (all params),0,3,82.496667,1.134431
post_input_if,l1_all,L1 (all params),0.25,3,81.163333,0.465988
post_input_if,l1_all,L1 (all params),0.5,3,75.452222,2.821119
post_input_if,l1_all,L1 (all params),1,3,55.680000,6.037119
post_input_if,no_reg_current,No Reg,0,3,82.766667,0.625486
post_input_if,no_reg_current,No Reg,0.25,3,80.835556,1.154052
post_input_if,no_reg_current,No Reg,0.5,3,72.895556,7.490264
post_input_if,no_reg_current,No Reg,1,3,53.822222,7.449952
post_input_if,old_detach_current,MNE-L2,0,3,82.770000,0.726430
post_input_if,old_detach_current,MNE-L2,0.25,3,76.794444,6.075209
post_input_if,old_detach_current,MNE-L2,0.5,3,71.776667,8.704259
post_input_if,old_detach_current,MNE-L2,1,3,53.744444,8.525330
post_input_if,wd_weight_only,WD (weights only),0,3,82.890000,0.648383
post_input_if,wd_weight_only,WD (weights only),0.25,3,80.774444,0.760572
post_input_if,wd_weight_only,WD (weights only),0.5,3,73.040000,5.708073
post_input_if,wd_weight_only,WD (weights only),1,3,50.223333,7.580774
