dataset,model,method,method_label,seed,L,T,site,sigma,noise_repeat,noise_seed,accuracy,checkpoint
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,1,1,20301102,15.880000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,old_detach_current,MNE-L2,40,16,16,both,1,2,20301103,15.910000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_old_detach_current_rc0p0001_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0,0,20300801,83.230000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0.25,0,20300901,81.540000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0.25,1,20300902,81.800000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0.25,2,20300903,81.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0.5,0,20301001,77.630000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0.5,1,20301002,77.350000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,0.5,2,20301003,77.060000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
fashion_mnist,cnn2,l1_all,L1 (all params),40,16,16,post_input_if,1,0,20301101,56.990000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_L[16]_fashion_spectral_mne_cnn2_l1_all_rc1em05_seed40_ep30_L16_trainT0.pth
