site,method,method_label,clean_acc,end_sigma,end_acc,absolute_drop,end_retention,curve_acc_auc,curve_retention_auc
both,l1_all,L1 (all params),82.496667,1,27.855556,54.641111,0.337657,56.186528,0.681076
both,no_reg_current,No Reg,82.766667,1,25.085556,57.681111,0.303088,54.073750,0.653328
both,old_detach_current,MNE-L2,82.770000,1,28.237778,54.532222,0.341160,53.638334,0.648041
both,wd_weight_only,WD (weights only),82.890000,1,22.524444,60.365556,0.271739,52.325833,0.631268
post_input_if,l1_all,L1 (all params),82.496667,1,55.680000,26.816667,0.674936,72.817500,0.882672
post_input_if,no_reg_current,No Reg,82.766667,1,53.822222,28.944445,0.650289,71.346111,0.862015
post_input_if,old_detach_current,MNE-L2,82.770000,1,53.744444,29.025556,0.649323,69.897222,0.844475
post_input_if,wd_weight_only,WD (weights only),82.890000,1,50.223333,32.666667,0.605903,70.500694,0.850533
