arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h8,mne_l2,40,16,16,0.0,85.82,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.1,85.78,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.2,85.72,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.3,85.72,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.4,85.64,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.5,85.73,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.6,85.52,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.7,85.51,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.8,85.44,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc2_h8,mne_l2,40,16,16,0.9,85.33,mnist-checkpoints/fc2_h8_L[16]_strict_seed40_ablation_mne_l2_l16_fc2_h8_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/strict_seed_train_rate_uniform_L16_T16/fc2_h8/mne_l2/seed_40/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_40.csv
