L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,16,85.850000,85.020000,81.990000,76.700000,67.590000,57.770000,48.110000,40.060000,33.530000,28.550000,24.600000,21.990000,18.490000
