method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.598395347595215
weights_only,best_val,gamma_rms,bns.0,1.1051610708236694
weights_only,best_val,gamma_rms,bns.1,1.0930501222610474
weights_only,best_val,gamma_rms,bns.2,1.0734751224517822
weights_only,best_val,gamma_rms,bns.3,1.0686817169189453
weights_only,best_val,gamma_rms,bns.4,1.0810834169387817
weights_only,best_val,gamma_rms,bns.5,1.0724982023239136
weights_only,best_val,gamma_rms,bns.6,1.065812587738037
weights_only,best_val,gamma_rms,bns.7,1.065050482749939
weights_only,best_val,gamma_rms,bns.8,1.0640829801559448
weights_only,best_val,gamma_rms,bns.9,1.075315237045288
weights_only,best_val,gamma_rms,bns.10,1.0770710706710815
weights_only,best_val,gamma_rms,bns.11,1.0711899995803833
weights_only,best_val,gamma_rms,bns.12,1.0633631944656372
weights_only,best_val,gamma_rms,bns.13,1.0533596277236938
weights_only,best_val,gamma_rms,bns.14,1.111944317817688
weights_only,best_val,lambda,ifs.0,7.878840446472168
weights_only,best_val,lambda,ifs.1,7.892940044403076
weights_only,best_val,lambda,ifs.2,7.91420841217041
weights_only,best_val,lambda,ifs.3,7.924074172973633
weights_only,best_val,lambda,ifs.4,7.9128007888793945
weights_only,best_val,lambda,ifs.5,7.839990615844727
weights_only,best_val,lambda,ifs.6,7.859174728393555
weights_only,best_val,lambda,ifs.7,7.856847763061523
weights_only,best_val,lambda,ifs.8,7.855616569519043
weights_only,best_val,lambda,ifs.9,7.844084739685059
weights_only,best_val,lambda,ifs.10,7.752485275268555
weights_only,best_val,lambda,ifs.11,7.770266056060791
weights_only,best_val,lambda,ifs.12,7.799516677856445
weights_only,best_val,lambda,ifs.13,7.832390785217285
weights_only,best_val,lambda,ifs.14,7.912092208862305
weights_only,final,lambda,input_if,7.5660881996154785
weights_only,final,gamma_rms,bns.0,1.112993597984314
weights_only,final,gamma_rms,bns.1,1.0989384651184082
weights_only,final,gamma_rms,bns.2,1.0780867338180542
weights_only,final,gamma_rms,bns.3,1.0742822885513306
weights_only,final,gamma_rms,bns.4,1.087501049041748
weights_only,final,gamma_rms,bns.5,1.0780616998672485
weights_only,final,gamma_rms,bns.6,1.0710176229476929
weights_only,final,gamma_rms,bns.7,1.0698940753936768
weights_only,final,gamma_rms,bns.8,1.0693559646606445
weights_only,final,gamma_rms,bns.9,1.0815706253051758
weights_only,final,gamma_rms,bns.10,1.0832475423812866
weights_only,final,gamma_rms,bns.11,1.0766609907150269
weights_only,final,gamma_rms,bns.12,1.068271279335022
weights_only,final,gamma_rms,bns.13,1.0577150583267212
weights_only,final,gamma_rms,bns.14,1.1300268173217773
weights_only,final,lambda,ifs.0,7.869513034820557
weights_only,final,lambda,ifs.1,7.885725021362305
weights_only,final,lambda,ifs.2,7.9086432456970215
weights_only,final,lambda,ifs.3,7.917947292327881
weights_only,final,lambda,ifs.4,7.905629634857178
weights_only,final,lambda,ifs.5,7.827081680297852
weights_only,final,lambda,ifs.6,7.847499370574951
weights_only,final,lambda,ifs.7,7.845757961273193
weights_only,final,lambda,ifs.8,7.8437910079956055
weights_only,final,lambda,ifs.9,7.830369472503662
weights_only,final,lambda,ifs.10,7.731320858001709
weights_only,final,lambda,ifs.11,7.751722812652588
weights_only,final,lambda,ifs.12,7.783145427703857
weights_only,final,lambda,ifs.13,7.8183183670043945
weights_only,final,lambda,ifs.14,7.905477523803711
all_parameters,best_val,lambda,input_if,6.426710605621338
all_parameters,best_val,gamma_rms,bns.0,1.0163639783859253
all_parameters,best_val,gamma_rms,bns.1,0.9527470469474792
all_parameters,best_val,gamma_rms,bns.2,0.9416876435279846
all_parameters,best_val,gamma_rms,bns.3,0.9340868592262268
all_parameters,best_val,gamma_rms,bns.4,0.9411321878433228
all_parameters,best_val,gamma_rms,bns.5,0.9248393774032593
all_parameters,best_val,gamma_rms,bns.6,0.9202133417129517
all_parameters,best_val,gamma_rms,bns.7,0.9199320077896118
all_parameters,best_val,gamma_rms,bns.8,0.9241208434104919
all_parameters,best_val,gamma_rms,bns.9,0.934227466583252
all_parameters,best_val,gamma_rms,bns.10,0.9367504715919495
all_parameters,best_val,gamma_rms,bns.11,0.9338183403015137
all_parameters,best_val,gamma_rms,bns.12,0.9279840588569641
all_parameters,best_val,gamma_rms,bns.13,0.9169841408729553
all_parameters,best_val,gamma_rms,bns.14,1.0224553346633911
all_parameters,best_val,lambda,ifs.0,6.707282543182373
all_parameters,best_val,lambda,ifs.1,6.775923252105713
all_parameters,best_val,lambda,ifs.2,6.782129764556885
all_parameters,best_val,lambda,ifs.3,6.7918925285339355
all_parameters,best_val,lambda,ifs.4,6.792716026306152
all_parameters,best_val,lambda,ifs.5,6.738171100616455
all_parameters,best_val,lambda,ifs.6,6.750045299530029
all_parameters,best_val,lambda,ifs.7,6.749469757080078
all_parameters,best_val,lambda,ifs.8,6.738487243652344
all_parameters,best_val,lambda,ifs.9,6.725651741027832
all_parameters,best_val,lambda,ifs.10,6.626935958862305
all_parameters,best_val,lambda,ifs.11,6.635913372039795
all_parameters,best_val,lambda,ifs.12,6.66119909286499
all_parameters,best_val,lambda,ifs.13,6.700520992279053
all_parameters,best_val,lambda,ifs.14,6.793296813964844
all_parameters,final,lambda,input_if,6.41873836517334
all_parameters,final,gamma_rms,bns.0,1.0165280103683472
all_parameters,final,gamma_rms,bns.1,0.9524329900741577
all_parameters,final,gamma_rms,bns.2,0.9413514733314514
all_parameters,final,gamma_rms,bns.3,0.9337979555130005
all_parameters,final,gamma_rms,bns.4,0.9410300254821777
all_parameters,final,gamma_rms,bns.5,0.9245592951774597
all_parameters,final,gamma_rms,bns.6,0.9198817014694214
all_parameters,final,gamma_rms,bns.7,0.9196271300315857
all_parameters,final,gamma_rms,bns.8,0.9238220453262329
all_parameters,final,gamma_rms,bns.9,0.9340148568153381
all_parameters,final,gamma_rms,bns.10,0.9365469813346863
all_parameters,final,gamma_rms,bns.11,0.9335915446281433
all_parameters,final,gamma_rms,bns.12,0.9276974201202393
all_parameters,final,gamma_rms,bns.13,0.9166631102561951
all_parameters,final,gamma_rms,bns.14,1.023546576499939
all_parameters,final,lambda,ifs.0,6.700780391693115
all_parameters,final,lambda,ifs.1,6.770007610321045
all_parameters,final,lambda,ifs.2,6.776223659515381
all_parameters,final,lambda,ifs.3,6.78588342666626
all_parameters,final,lambda,ifs.4,6.786586761474609
all_parameters,final,lambda,ifs.5,6.731781005859375
all_parameters,final,lambda,ifs.6,6.743770599365234
all_parameters,final,lambda,ifs.7,6.743132591247559
all_parameters,final,lambda,ifs.8,6.732138633728027
all_parameters,final,lambda,ifs.9,6.719132900238037
all_parameters,final,lambda,ifs.10,6.619680404663086
all_parameters,final,lambda,ifs.11,6.628798484802246
all_parameters,final,lambda,ifs.12,6.654350280761719
all_parameters,final,lambda,ifs.13,6.693843841552734
all_parameters,final,lambda,ifs.14,6.787382125854492
