method,checkpoint,train_ann_acc,val_ann_acc,test_ann_acc,train_val_gap,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median,snn_sigma0_acc,snn_sigma0_std,snn_sigma1_acc,snn_sigma1_std,snn_drop,best_epoch
weights_only,best_val,91.332,88.61,87.74,2.721999999999994,16,7.840232849121094,7.598395347595215,7.924074172973633,1.0731934309005737,1.074714183807373,1.064733862876892,84.82,0.0,55.196666666666665,0.23629078131263176,29.623333333333328,20
weights_only,final,92.022,88.42,87.6,3.602000000000004,16,7.8273773193359375,7.5660881996154785,7.917947292327881,1.0798653364181519,1.0814905166625977,1.070658802986145,85.18,0.0,52.48666666666667,0.09865765724632572,32.693333333333335,20
all_parameters,best_val,91.49,89.14,88.05,2.3499999999999943,16,6.712271690368652,6.426710605621338,6.793296813964844,0.9399760961532593,0.9421064853668213,0.9256229400634766,85.47,0.0,49.38666666666666,0.28360771028540954,36.083333333333336,26
all_parameters,final,91.648,88.93,87.93,2.7179999999999893,16,6.705764293670654,6.41873836517334,6.787382125854492,0.9398532509803772,0.9420006275177002,0.9251833558082581,85.74,0.0,51.089999999999996,0.2128379665379287,34.65,26
