dataset,variant,variant_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,0,1,59.832000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,0.25,1,55.818000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,0.5,1,48.520000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,0.75,1,37.152000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,1,1,23.982000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,1.25,1,12.956000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,1.5,1,5.876000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,1.75,1,2.288000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,2,1,0.906000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,2.25,1,0.422000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,2.5,1,0.256000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,2.75,1,0.198000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,3,1,0.176000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,3.25,1,0.154000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,3.5,1,0.142000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,3.75,1,0.136000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,4,1,0.112000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,4.25,1,0.092000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,4.5,1,0.104000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,4.75,1,0.104000,0.000000
imagenet,old_detach,Old MNE (detach $\lambda$),mne_l2,0p0001,5,1,0.100000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,0,1,57.014000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,0.25,1,51.646000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,0.5,1,45.476000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,0.75,1,37.968000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,1,1,29.366000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,1.25,1,20.188000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,1.5,1,12.214000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,1.75,1,6.706000,0.000000
imagenet,calibrated_mne_a0p1,Calibrated MNE ($\alpha = 0.1$),calibrated_mne_l2,0p0001,2,1,3.432000,0.000000
