L,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
8,89.250000,88.480000,87.880000,86.780000,84.910000,81.960000,78.850000,74.850000,68.970000,63.200000,56.780000,50.380000,44.550000,39.800000,35.100000,31.140000,28.810000,26.190000,23.890000,22.420000,21.580000
