site,method,method_label,sigma_scale,sigma,n,acc_mean,acc_std
post_input_if,l2,L2,post_input_if_rms,0,5,75.756000,5.154011
post_input_if,l2,L2,post_input_if_rms,1,5,18.370400,2.833589
post_input_if,no_reg,No Reg,post_input_if_rms,0,5,71.414000,7.284664
post_input_if,no_reg,No Reg,post_input_if_rms,1,5,16.562000,3.647498
post_input_if,old_detach,MNE-L2,post_input_if_rms,0,5,74.712000,3.370997
post_input_if,old_detach,MNE-L2,post_input_if_rms,1,5,16.692800,2.335952
post_input_if,orthogonal,Orthogonal,post_input_if_rms,0,5,72.118000,7.454748
post_input_if,orthogonal,Orthogonal,post_input_if_rms,1,5,16.647600,2.392912
