dataset,method,seed,corruption,severity,accuracy,n_samples
cifar100,l2all,42,clean,0,62.270000,10000
cifar100,l2all,42,gaussian_noise,1,43.560000,10000
cifar100,l2all,42,gaussian_noise,2,31.300000,10000
cifar100,l2all,42,gaussian_noise,3,22.340000,10000
cifar100,l2all,42,gaussian_noise,4,19.480000,10000
cifar100,l2all,42,gaussian_noise,5,16.640000,10000
cifar100,l2all,42,shot_noise,1,50.190000,10000
cifar100,l2all,42,shot_noise,2,42.410000,10000
cifar100,l2all,42,shot_noise,3,28.920000,10000
cifar100,l2all,42,shot_noise,4,24.950000,10000
cifar100,l2all,42,shot_noise,5,19.790000,10000
cifar100,l2all,42,impulse_noise,1,60.350000,10000
cifar100,l2all,42,impulse_noise,2,56.040000,10000
cifar100,l2all,42,impulse_noise,3,49.610000,10000
cifar100,l2all,42,impulse_noise,4,34.460000,10000
cifar100,l2all,42,impulse_noise,5,21.980000,10000
cifar100,l2all,42,defocus_blur,1,61.490000,10000
cifar100,l2all,42,defocus_blur,2,58.490000,10000
cifar100,l2all,42,defocus_blur,3,53.190000,10000
cifar100,l2all,42,defocus_blur,4,46.620000,10000
cifar100,l2all,42,defocus_blur,5,33.840000,10000
cifar100,l2all,42,glass_blur,1,21.930000,10000
cifar100,l2all,42,glass_blur,2,24.310000,10000
cifar100,l2all,42,glass_blur,3,28.430000,10000
cifar100,l2all,42,glass_blur,4,15.670000,10000
cifar100,l2all,42,glass_blur,5,19.610000,10000
cifar100,l2all,42,motion_blur,1,53.990000,10000
cifar100,l2all,42,motion_blur,2,46.960000,10000
cifar100,l2all,42,motion_blur,3,39.400000,10000
cifar100,l2all,42,motion_blur,4,39.950000,10000
cifar100,l2all,42,motion_blur,5,33.350000,10000
cifar100,l2all,42,zoom_blur,1,53.010000,10000
cifar100,l2all,42,zoom_blur,2,51.070000,10000
cifar100,l2all,42,zoom_blur,3,46.800000,10000
cifar100,l2all,42,zoom_blur,4,43.160000,10000
cifar100,l2all,42,zoom_blur,5,37.370000,10000
cifar100,l2all,42,snow,1,58.200000,10000
cifar100,l2all,42,snow,2,40.300000,10000
cifar100,l2all,42,snow,3,48.010000,10000
cifar100,l2all,42,snow,4,44.650000,10000
cifar100,l2all,42,snow,5,35.010000,10000
cifar100,l2all,42,frost,1,53.330000,10000
cifar100,l2all,42,frost,2,45.660000,10000
cifar100,l2all,42,frost,3,34.370000,10000
cifar100,l2all,42,frost,4,32.080000,10000
cifar100,l2all,42,frost,5,22.880000,10000
cifar100,l2all,42,fog,1,61.500000,10000
cifar100,l2all,42,fog,2,58.190000,10000
cifar100,l2all,42,fog,3,53.960000,10000
cifar100,l2all,42,fog,4,47.510000,10000
cifar100,l2all,42,fog,5,30.390000,10000
cifar100,l2all,42,brightness,1,61.980000,10000
cifar100,l2all,42,brightness,2,61.680000,10000
cifar100,l2all,42,brightness,3,60.800000,10000
cifar100,l2all,42,brightness,4,59.540000,10000
cifar100,l2all,42,brightness,5,56.260000,10000
cifar100,l2all,42,contrast,1,60.310000,10000
cifar100,l2all,42,contrast,2,55.690000,10000
cifar100,l2all,42,contrast,3,52.370000,10000
cifar100,l2all,42,contrast,4,46.210000,10000
cifar100,l2all,42,contrast,5,26.320000,10000
cifar100,l2all,42,elastic_transform,1,54.000000,10000
cifar100,l2all,42,elastic_transform,2,54.220000,10000
cifar100,l2all,42,elastic_transform,3,51.620000,10000
cifar100,l2all,42,elastic_transform,4,48.570000,10000
cifar100,l2all,42,elastic_transform,5,47.190000,10000
cifar100,l2all,42,pixelate,1,59.910000,10000
cifar100,l2all,42,pixelate,2,54.000000,10000
cifar100,l2all,42,pixelate,3,48.120000,10000
cifar100,l2all,42,pixelate,4,30.290000,10000
cifar100,l2all,42,pixelate,5,13.920000,10000
cifar100,l2all,42,jpeg_compression,1,56.410000,10000
cifar100,l2all,42,jpeg_compression,2,52.500000,10000
cifar100,l2all,42,jpeg_compression,3,51.110000,10000
cifar100,l2all,42,jpeg_compression,4,49.700000,10000
cifar100,l2all,42,jpeg_compression,5,47.360000,10000
