dataset,variant,variant_label,regularizer,reg_coeff,sigma,n,acc_mean,acc_std
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0,1,89.690000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.05,1,89.780000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.1,1,89.620000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.15,1,89.630000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.2,1,89.720000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.25,1,89.740000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.3,1,89.540000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.35,1,89.590000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.4,1,89.610000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.45,1,89.720000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.5,1,89.670000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.55,1,89.820000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.6,1,89.680000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.65,1,89.570000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.7,1,89.720000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.75,1,89.730000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.8,1,89.520000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.85,1,89.760000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.9,1,89.650000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,0.95,1,89.620000,0.000000
cifar10,fanin_mean,stable_fanin_mean_bn_detached,stable_mne_l2,0.0001,1,1,89.670000,0.000000
cifar10,full_bn,stable_fanin_mean_bn_affine_trainable,stable_mne_l2,0.0001,0,1,85.840000,0.000000
cifar10,full_bn,stable_fanin_mean_bn_affine_trainable,stable_mne_l2,0.0001,0.05,1,85.800000,0.000000
cifar10,full_bn,stable_fanin_mean_bn_affine_trainable,stable_mne_l2,0.0001,0.1,1,85.800000,0.000000
cifar10,full_bn,stable_fanin_mean_bn_affine_trainable,stable_mne_l2,0.0001,0.15,1,85.760000,0.000000
