method,checkpoint,train_ann_acc,val_ann_acc,test_ann_acc,train_val_gap,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median,snn_sigma0_acc,snn_sigma0_std,snn_sigma1_acc,snn_sigma1_std,snn_drop,best_epoch
weights_only,best_val,89.39,87.76,86.76,1.6299999999999955,41,7.95311164855957,7.414124011993408,8.101400375366211,1.0360320806503296,1.0420585870742798,1.0172309875488281,84.05,0.0,33.446666666666665,0.365011415346607,50.60333333333333,24
weights_only,final,89.658,87.54,86.76,2.117999999999995,41,7.952120304107666,7.404347896575928,8.101816177368164,1.0368353128433228,1.0429558753967285,1.0179160833358765,84.08,0.0,33.843333333333334,0.2119748412744626,50.236666666666665,24
all_parameters,best_val,89.484,87.63,86.91,1.8539999999999992,41,6.8288679122924805,6.368370056152344,6.948915481567383,0.8966032266616821,0.9040176868438721,0.8809438943862915,83.44,0.0,37.046666666666674,0.3821430796617071,46.393333333333324,29
all_parameters,final,89.324,87.51,87.36,1.813999999999993,41,6.828677177429199,6.36808967590332,6.948729515075684,0.896588921546936,0.9040045142173767,0.8809396624565125,82.52,0.0,37.31,0.2424871130596438,45.209999999999994,29
