sigma,weight_decay,mne_l2,no_regularization,conv_mne_l2_no_detach
0.00,98.350000,97.780000,98.210000,97.780000
0.02,97.700000,97.840000,98.150000,97.790000
0.04,97.680000,97.920000,96.720000,97.780000
0.06,97.760000,97.940000,94.440000,97.710000
0.08,97.810000,97.920000,92.880000,97.580000
0.10,97.660000,97.800000,91.730000,97.530000
0.12,97.740000,97.940000,91.440000,97.460000
0.14,97.420000,97.870000,91.080000,97.700000
0.16,97.050000,97.870000,91.120000,97.610000
0.18,96.920000,97.970000,90.400000,97.590000
0.20,96.480000,97.910000,89.700000,97.330000
0.22,96.240000,97.970000,88.890000,97.540000
0.24,95.700000,97.930000,87.400000,97.470000
0.26,95.350000,97.660000,85.640000,97.630000
0.28,94.960000,97.790000,84.540000,97.470000
0.30,94.420000,97.870000,83.200000,97.450000
0.32,93.910000,97.750000,81.820000,97.620000
0.34,93.470000,97.760000,80.430000,97.450000
0.36,92.800000,97.790000,79.220000,97.420000
0.38,92.250000,97.820000,78.230000,97.420000
0.40,91.910000,97.800000,77.500000,97.490000
0.42,91.030000,97.810000,76.090000,97.360000
0.44,90.920000,97.720000,76.100000,97.450000
0.46,90.060000,97.850000,74.800000,97.500000
0.48,89.670000,97.790000,74.270000,97.590000
0.50,88.740000,97.710000,73.650000,97.290000
0.52,88.230000,97.640000,72.570000,97.300000
0.54,87.540000,97.640000,72.710000,97.160000
0.56,87.060000,97.570000,71.800000,97.310000
0.58,86.330000,97.500000,71.430000,97.220000
0.60,86.170000,97.750000,71.450000,96.940000
0.62,85.480000,97.620000,70.580000,96.980000
0.64,84.540000,97.440000,71.050000,97.190000
0.66,84.160000,97.600000,70.450000,96.950000
0.68,83.150000,97.420000,70.430000,97.000000
0.70,82.940000,97.650000,70.080000,97.050000
0.72,82.670000,97.580000,69.720000,96.790000
0.74,81.570000,97.400000,69.750000,96.910000
0.76,81.010000,97.540000,69.390000,96.710000
0.78,80.450000,97.450000,69.530000,96.810000
0.80,79.530000,97.410000,68.320000,96.920000
0.82,79.150000,97.260000,68.550000,96.610000
0.84,79.140000,97.370000,68.850000,96.820000
0.86,78.250000,97.150000,68.060000,96.590000
0.88,77.200000,97.020000,68.160000,96.780000
0.90,76.880000,97.210000,68.250000,96.440000
0.92,76.500000,97.190000,67.650000,96.310000
0.94,76.020000,97.050000,68.150000,96.320000
0.96,75.050000,97.170000,67.550000,96.190000
0.98,74.520000,97.120000,67.440000,96.150000
1.00,74.140000,96.930000,67.140000,95.810000
