sigma,weight_decay,mne_l2,no_regularization,conv_mne_l2
0.00,91.230000,87.570000,90.900000,91.420000
0.02,90.330000,87.510000,90.610000,91.520000
0.04,83.870000,87.310000,77.020000,91.420000
0.06,81.540000,86.890000,68.060000,91.630000
0.08,80.840000,87.100000,64.490000,91.490000
0.10,80.510000,86.740000,62.230000,91.620000
0.12,79.600000,86.620000,58.500000,91.410000
0.14,78.270000,86.650000,54.290000,91.460000
0.16,76.540000,86.880000,50.480000,91.460000
0.18,73.470000,86.710000,46.640000,91.160000
0.20,71.030000,86.760000,44.380000,91.450000
0.22,68.920000,86.470000,42.070000,91.640000
0.24,66.560000,86.710000,40.750000,91.370000
0.26,65.220000,86.220000,39.550000,91.090000
0.28,63.380000,86.530000,38.760000,91.280000
0.30,62.210000,86.180000,38.320000,91.040000
0.32,61.170000,86.250000,37.200000,90.970000
0.34,59.720000,85.820000,36.740000,91.200000
0.36,58.820000,85.760000,36.020000,90.880000
0.38,58.180000,85.710000,35.850000,90.960000
0.40,57.730000,85.800000,36.110000,91.140000
0.42,56.490000,85.520000,35.060000,90.890000
0.44,56.000000,84.920000,34.960000,90.850000
0.46,55.540000,84.880000,34.560000,90.720000
0.48,55.100000,84.540000,34.200000,90.770000
0.50,54.400000,84.480000,33.520000,91.030000
0.52,53.300000,84.280000,33.640000,90.710000
0.54,53.940000,84.080000,33.520000,90.800000
0.56,52.620000,84.130000,33.180000,90.730000
0.58,52.600000,83.670000,32.990000,90.870000
0.60,52.010000,83.300000,32.710000,90.490000
0.62,51.800000,82.870000,32.740000,90.570000
0.64,51.600000,83.120000,32.250000,90.670000
0.66,51.010000,82.620000,31.950000,90.590000
0.68,50.220000,82.350000,31.700000,90.270000
0.70,50.240000,82.240000,32.130000,90.380000
0.72,50.400000,81.580000,31.870000,90.320000
0.74,49.210000,82.050000,31.410000,90.040000
0.76,49.180000,81.370000,31.200000,90.180000
0.78,49.300000,80.780000,31.350000,90.020000
0.80,48.880000,80.730000,30.990000,89.940000
0.82,48.410000,80.570000,31.060000,89.720000
0.84,48.160000,80.170000,30.660000,89.870000
0.86,47.860000,79.720000,29.840000,89.730000
0.88,47.710000,79.540000,30.120000,89.660000
0.90,46.910000,79.210000,30.170000,89.760000
0.92,47.120000,78.470000,30.050000,89.780000
0.94,46.810000,78.540000,29.760000,89.250000
0.96,46.090000,77.770000,29.500000,89.270000
0.98,46.240000,77.140000,29.670000,89.150000
1.00,46.000000,77.210000,29.210000,88.870000
