method,sigma,acc
mne_l2,0.0,98.08
mne_l2,0.02,98.05
mne_l2,0.04,98.02
mne_l2,0.06,98.03
mne_l2,0.08,98.02
mne_l2,0.1,98.03
mne_l2,0.12,98.06
mne_l2,0.14,98.0
mne_l2,0.16,97.99
mne_l2,0.18,97.96
mne_l2,0.2,98.0
mne_l2,0.22,97.91
mne_l2,0.24,98.05
mne_l2,0.26,97.94
mne_l2,0.28,97.91
mne_l2,0.3,97.96
mne_l2,0.32,97.88
mne_l2,0.34,98.01
mne_l2,0.36,97.96
mne_l2,0.38,97.96
mne_l2,0.4,97.91
mne_l2,0.42,97.94
mne_l2,0.44,97.94
mne_l2,0.46,97.92
mne_l2,0.48,97.84
mne_l2,0.5,97.99
mne_l2,0.52,97.92
mne_l2,0.54,97.86
mne_l2,0.56,97.94
mne_l2,0.58,97.93
mne_l2,0.6,97.86
mne_l2,0.62,97.82
mne_l2,0.64,97.9
mne_l2,0.66,97.68
mne_l2,0.68,97.76
mne_l2,0.7,97.75
mne_l2,0.72,97.93
mne_l2,0.74,97.69
mne_l2,0.76,97.81
mne_l2,0.78,97.76
mne_l2,0.8,97.7
mne_l2,0.82,97.82
mne_l2,0.84,97.81
mne_l2,0.86,97.8
mne_l2,0.88,97.76
mne_l2,0.9,97.67
mne_l2,0.92,97.54
mne_l2,0.94,97.72
mne_l2,0.96,97.51
mne_l2,0.98,97.59
mne_l2,1.0,97.64
no_regularization,0.0,97.53
no_regularization,0.02,97.48
no_regularization,0.04,97.52
no_regularization,0.06,97.49
no_regularization,0.08,97.47
no_regularization,0.1,97.45
no_regularization,0.12,97.54
no_regularization,0.14,97.49
no_regularization,0.16,97.43
no_regularization,0.18,97.43
no_regularization,0.2,97.41
no_regularization,0.22,97.58
no_regularization,0.24,97.41
no_regularization,0.26,97.4
no_regularization,0.28,97.37
no_regularization,0.3,97.48
no_regularization,0.32,97.51
no_regularization,0.34,97.42
no_regularization,0.36,97.34
no_regularization,0.38,97.52
no_regularization,0.4,97.33
no_regularization,0.42,97.33
no_regularization,0.44,97.4
no_regularization,0.46,97.26
no_regularization,0.48,97.26
no_regularization,0.5,97.16
no_regularization,0.52,97.09
no_regularization,0.54,97.18
no_regularization,0.56,97.22
no_regularization,0.58,97.12
no_regularization,0.6,97.06
no_regularization,0.62,97.17
no_regularization,0.64,97.21
no_regularization,0.66,97.03
no_regularization,0.68,97.11
no_regularization,0.7,97.03
no_regularization,0.72,97.23
no_regularization,0.74,96.83
no_regularization,0.76,97.03
no_regularization,0.78,96.97
no_regularization,0.8,97.09
no_regularization,0.82,97.03
no_regularization,0.84,97.14
no_regularization,0.86,96.98
no_regularization,0.88,97.06
no_regularization,0.9,96.8
no_regularization,0.92,96.81
no_regularization,0.94,96.75
no_regularization,0.96,96.9
no_regularization,0.98,96.76
no_regularization,1.0,96.97
weight_decay,0.0,97.94
weight_decay,0.02,97.92
weight_decay,0.04,97.91
weight_decay,0.06,97.89
weight_decay,0.08,97.95
weight_decay,0.1,97.89
weight_decay,0.12,97.93
weight_decay,0.14,97.9
weight_decay,0.16,97.88
weight_decay,0.18,97.85
weight_decay,0.2,97.91
weight_decay,0.22,97.87
weight_decay,0.24,97.88
weight_decay,0.26,97.85
weight_decay,0.28,97.83
weight_decay,0.3,97.86
weight_decay,0.32,97.83
weight_decay,0.34,97.82
weight_decay,0.36,97.84
weight_decay,0.38,97.86
weight_decay,0.4,97.91
weight_decay,0.42,97.9
weight_decay,0.44,97.86
weight_decay,0.46,97.82
weight_decay,0.48,97.85
weight_decay,0.5,97.87
weight_decay,0.52,97.84
weight_decay,0.54,97.79
weight_decay,0.56,97.84
weight_decay,0.58,97.76
weight_decay,0.6,97.78
weight_decay,0.62,97.75
weight_decay,0.64,97.78
weight_decay,0.66,97.76
weight_decay,0.68,97.84
weight_decay,0.7,97.68
weight_decay,0.72,97.86
weight_decay,0.74,97.76
weight_decay,0.76,97.79
weight_decay,0.78,97.86
weight_decay,0.8,97.68
weight_decay,0.82,97.84
weight_decay,0.84,97.82
weight_decay,0.86,97.7
weight_decay,0.88,97.78
weight_decay,0.9,97.77
weight_decay,0.92,97.61
weight_decay,0.94,97.73
weight_decay,0.96,97.54
weight_decay,0.98,97.69
weight_decay,1.0,97.57
