L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,75.640000,68.320000,59.980000,50.780000,42.310000,34.750000,28.060000,22.800000,19.290000,16.780000,14.920000,13.640000,12.530000,11.920000,11.460000,11.230000,10.790000
