L,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5
16,21.280000,13.730000,9.710000,7.440000,5.770000,4.680000,3.780000,3.240000,2.820000,2.370000,2.260000,1.940000,1.800000,1.720000,1.480000,1.430000,1.390000
