method,method_label,sigma,n,acc_mean,acc_std
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,1,82.780000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.25,1,80.670000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.5,1,74.680000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.75,1,62.900000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1,1,50.180000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.25,1,39.110000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.5,1,30.820000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.75,1,24.990000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2,1,20.280000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.25,1,17.420000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.5,1,15.360000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.75,1,13.930000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),3,1,12.930000,0.000000
old_detach,Old MNE (detach λ),0,1,81.940000,0.000000
old_detach,Old MNE (detach λ),0.25,1,69.850000,0.000000
old_detach,Old MNE (detach λ),0.5,1,61.670000,0.000000
old_detach,Old MNE (detach λ),0.75,1,55.370000,0.000000
old_detach,Old MNE (detach λ),1,1,44.450000,0.000000
old_detach,Old MNE (detach λ),1.25,1,35.260000,0.000000
old_detach,Old MNE (detach λ),1.5,1,29.130000,0.000000
old_detach,Old MNE (detach λ),1.75,1,23.830000,0.000000
old_detach,Old MNE (detach λ),2,1,20.560000,0.000000
old_detach,Old MNE (detach λ),2.25,1,18.070000,0.000000
old_detach,Old MNE (detach λ),2.5,1,16.220000,0.000000
old_detach,Old MNE (detach λ),2.75,1,14.440000,0.000000
old_detach,Old MNE (detach λ),3,1,13.410000,0.000000
weight_decay,L2-all (all params),0,1,81.710000,0.000000
weight_decay,L2-all (all params),0.25,1,75.300000,0.000000
weight_decay,L2-all (all params),0.5,1,64.470000,0.000000
weight_decay,L2-all (all params),0.75,1,52.130000,0.000000
weight_decay,L2-all (all params),1,1,40.850000,0.000000
weight_decay,L2-all (all params),1.25,1,32.430000,0.000000
weight_decay,L2-all (all params),1.5,1,26.960000,0.000000
weight_decay,L2-all (all params),1.75,1,23.510000,0.000000
weight_decay,L2-all (all params),2,1,20.580000,0.000000
weight_decay,L2-all (all params),2.25,1,18.090000,0.000000
weight_decay,L2-all (all params),2.5,1,16.700000,0.000000
weight_decay,L2-all (all params),2.75,1,15.370000,0.000000
weight_decay,L2-all (all params),3,1,14.800000,0.000000
weight_decay_weights_only,L2-wo (weights only),0,1,82.190000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.25,1,79.820000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.5,1,65.920000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.75,1,53.320000,0.000000
weight_decay_weights_only,L2-wo (weights only),1,1,41.250000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.25,1,32.110000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.5,1,25.980000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.75,1,21.690000,0.000000
weight_decay_weights_only,L2-wo (weights only),2,1,18.200000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.25,1,16.050000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.5,1,14.540000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.75,1,13.340000,0.000000
weight_decay_weights_only,L2-wo (weights only),3,1,12.860000,0.000000
