L,T,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,16,53.160000,53.080000,53.070000,52.940000,53.040000,52.570000,52.270000,51.660000,50.860000,49.500000,48.040000,45.780000,42.980000
