arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h4,4,mne_l2,41,16,16,normal,0.1,67.07,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.2,66.92,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.3,66.91,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.4,67.07,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.5,67.0,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.6,66.45,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.7,66.55,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.8,66.27,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,0.9,65.7,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,41,16,16,normal,1.0,65.97,mnist-checkpoints/fc3_h4_L[16]_strict_seed41_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_41/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_41.csv
fc3_h4,4,mne_l2,42,16,16,normal,0.0,60.09,mnist-checkpoints/fc3_h4_L[16]_strict_seed42_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_normal_L16_T16/fc3_h4/mne_l2/seed_42/noise_sweep_matrix_mnist_fc3_h4_T16_mode_normal_schedule_normal_seed_42.csv
