L,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,64.170000,64.190000,63.960000,64.050000,64.060000,63.670000,63.050000,62.520000,60.730000,58.070000,54.330000,49.660000,42.880000
