sigma,conv_mne_l2,mne_l2,weight_decay,no_regularization
0.00,91.420000,95.740000,94.770000,93.440000
0.02,91.520000,95.690000,94.370000,93.420000
0.04,91.420000,95.640000,85.890000,93.320000
0.06,91.630000,95.800000,80.300000,92.520000
0.08,91.490000,95.680000,77.610000,91.030000
0.10,91.620000,95.770000,76.060000,89.730000
0.12,91.410000,95.190000,74.390000,88.670000
0.14,91.460000,95.360000,72.360000,88.460000
0.16,91.460000,95.110000,70.260000,87.680000
0.18,91.160000,94.900000,68.350000,88.040000
0.20,91.450000,94.830000,66.770000,87.550000
0.22,91.640000,94.320000,65.100000,87.800000
0.24,91.370000,94.210000,64.410000,87.350000
0.26,91.090000,94.270000,62.900000,86.630000
0.28,91.280000,93.870000,61.880000,86.280000
0.30,91.040000,93.890000,61.520000,86.320000
0.32,90.970000,93.740000,60.480000,85.390000
0.34,91.200000,93.680000,59.920000,84.250000
0.36,90.880000,93.670000,59.350000,83.900000
0.38,90.960000,93.650000,58.980000,83.160000
0.40,91.140000,93.190000,58.650000,82.720000
0.42,90.890000,93.320000,58.150000,81.570000
0.44,90.850000,93.270000,57.660000,80.970000
0.46,90.720000,93.110000,57.530000,80.660000
0.48,90.770000,92.890000,57.500000,79.820000
0.50,91.030000,92.770000,57.070000,79.270000
0.52,90.710000,92.910000,56.630000,78.910000
0.54,90.800000,92.730000,56.650000,78.140000
0.56,90.730000,92.640000,56.510000,77.390000
0.58,90.870000,92.390000,56.180000,76.790000
0.60,90.490000,92.380000,56.140000,77.010000
0.62,90.570000,92.220000,56.030000,76.050000
0.64,90.670000,92.000000,55.670000,75.580000
0.66,90.590000,91.920000,55.730000,75.400000
0.68,90.270000,91.910000,55.650000,75.230000
0.70,90.380000,91.740000,55.330000,74.590000
0.72,90.320000,91.560000,55.450000,74.070000
0.74,90.040000,91.320000,55.480000,73.840000
0.76,90.180000,91.180000,55.440000,73.010000
0.78,90.020000,90.890000,54.930000,72.630000
0.80,89.940000,90.740000,54.760000,72.650000
0.82,89.720000,90.620000,54.930000,71.740000
0.84,89.870000,90.330000,54.640000,71.250000
0.86,89.730000,90.360000,54.710000,71.240000
0.88,89.660000,89.470000,54.380000,70.800000
0.90,89.760000,89.720000,54.170000,70.770000
0.92,89.780000,89.490000,54.280000,70.210000
0.94,89.250000,88.590000,54.230000,69.260000
0.96,89.270000,88.480000,53.860000,68.990000
0.98,89.150000,88.330000,53.810000,68.720000
1.00,88.870000,88.100000,53.810000,68.760000
