method,checkpoint,train_ann_acc,val_ann_acc,test_ann_acc,train_val_gap,n_lambda,lambda_mean,lambda_min,lambda_max,gamma_abs_mean,gamma_rms,gamma_abs_median,snn_sigma0_acc,snn_sigma0_std,snn_sigma1_acc,snn_sigma1_std,snn_drop,best_epoch
weights_only,best_val,88.706,87.14,86.17,1.5660000000000025,81,7.986327171325684,7.6108880043029785,8.0652437210083,1.008033275604248,1.0113091468811035,0.9982272982597351,84.04,0.0,33.79333333333333,0.29022979401387256,50.24666666666668,29
weights_only,final,88.778,86.77,86.6,2.0080000000000098,81,7.986325263977051,7.610796928405762,8.065242767333984,1.0080379247665405,1.0113145112991333,0.9982582330703735,84.39,0.0,33.78333333333333,0.38004385711827127,50.60666666666667,29
all_parameters,best_val,88.746,87.61,86.16,1.1359999999999957,81,6.87281608581543,6.480875492095947,6.958780288696289,0.8678336143493652,0.8712944984436035,0.8620628118515015,83.25,0.0,36.076666666666675,0.42618462352991343,47.173333333333325,25
all_parameters,final,88.836,87.37,86.2,1.465999999999994,81,6.862524509429932,6.466050624847412,6.948640823364258,0.866814911365509,0.8703114986419678,0.8601256608963013,83.62,0.0,36.653333333333336,0.582866479850517,46.96666666666667,25
