L,T,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1
16,16,87.570000,87.470000,87.260000,87.010000,87.050000,86.830000,86.800000,86.760000,86.550000,86.620000,86.700000,86.400000,86.090000,86.270000,86.240000,86.180000,85.970000,85.880000,85.900000,85.730000,85.620000,85.470000,85.560000,84.900000,84.800000,84.700000,84.180000,83.960000,83.520000,83.660000,83.510000,83.070000,82.770000,82.670000,82.390000,81.860000,81.910000,81.820000,81.250000,81.220000,80.980000,80.370000,79.800000,79.750000,79.230000,79.240000,78.560000,78.470000,77.740000,77.380000,77.420000
