dataset,method,seed,corruption,severity,accuracy,n_samples
cifar100,onesided,42,clean,0,60.850000,10000
cifar100,onesided,42,gaussian_noise,1,46.790000,10000
cifar100,onesided,42,gaussian_noise,2,33.070000,10000
cifar100,onesided,42,gaussian_noise,3,22.730000,10000
cifar100,onesided,42,gaussian_noise,4,19.580000,10000
cifar100,onesided,42,gaussian_noise,5,16.660000,10000
cifar100,onesided,42,shot_noise,1,52.990000,10000
cifar100,onesided,42,shot_noise,2,44.930000,10000
cifar100,onesided,42,shot_noise,3,29.580000,10000
cifar100,onesided,42,shot_noise,4,25.210000,10000
cifar100,onesided,42,shot_noise,5,19.180000,10000
cifar100,onesided,42,impulse_noise,1,58.370000,10000
cifar100,onesided,42,impulse_noise,2,52.020000,10000
cifar100,onesided,42,impulse_noise,3,43.580000,10000
cifar100,onesided,42,impulse_noise,4,27.240000,10000
cifar100,onesided,42,impulse_noise,5,16.570000,10000
cifar100,onesided,42,defocus_blur,1,59.920000,10000
cifar100,onesided,42,defocus_blur,2,56.960000,10000
cifar100,onesided,42,defocus_blur,3,50.900000,10000
cifar100,onesided,42,defocus_blur,4,44.650000,10000
cifar100,onesided,42,defocus_blur,5,33.070000,10000
cifar100,onesided,42,glass_blur,1,24.120000,10000
cifar100,onesided,42,glass_blur,2,26.400000,10000
cifar100,onesided,42,glass_blur,3,30.790000,10000
cifar100,onesided,42,glass_blur,4,17.380000,10000
cifar100,onesided,42,glass_blur,5,20.500000,10000
cifar100,onesided,42,motion_blur,1,53.090000,10000
cifar100,onesided,42,motion_blur,2,46.500000,10000
cifar100,onesided,42,motion_blur,3,39.930000,10000
cifar100,onesided,42,motion_blur,4,40.210000,10000
cifar100,onesided,42,motion_blur,5,33.930000,10000
cifar100,onesided,42,zoom_blur,1,51.440000,10000
cifar100,onesided,42,zoom_blur,2,49.350000,10000
cifar100,onesided,42,zoom_blur,3,45.890000,10000
cifar100,onesided,42,zoom_blur,4,42.870000,10000
cifar100,onesided,42,zoom_blur,5,37.950000,10000
cifar100,onesided,42,snow,1,56.070000,10000
cifar100,onesided,42,snow,2,39.920000,10000
cifar100,onesided,42,snow,3,46.110000,10000
cifar100,onesided,42,snow,4,42.990000,10000
cifar100,onesided,42,snow,5,36.090000,10000
cifar100,onesided,42,frost,1,54.550000,10000
cifar100,onesided,42,frost,2,47.560000,10000
cifar100,onesided,42,frost,3,36.790000,10000
cifar100,onesided,42,frost,4,34.520000,10000
cifar100,onesided,42,frost,5,25.930000,10000
cifar100,onesided,42,fog,1,59.830000,10000
cifar100,onesided,42,fog,2,56.980000,10000
cifar100,onesided,42,fog,3,53.660000,10000
cifar100,onesided,42,fog,4,47.620000,10000
cifar100,onesided,42,fog,5,32.760000,10000
cifar100,onesided,42,brightness,1,60.620000,10000
cifar100,onesided,42,brightness,2,60.010000,10000
cifar100,onesided,42,brightness,3,59.420000,10000
cifar100,onesided,42,brightness,4,58.200000,10000
cifar100,onesided,42,brightness,5,55.110000,10000
cifar100,onesided,42,contrast,1,58.950000,10000
cifar100,onesided,42,contrast,2,53.490000,10000
cifar100,onesided,42,contrast,3,49.180000,10000
cifar100,onesided,42,contrast,4,41.390000,10000
cifar100,onesided,42,contrast,5,18.100000,10000
cifar100,onesided,42,elastic_transform,1,52.930000,10000
cifar100,onesided,42,elastic_transform,2,52.890000,10000
cifar100,onesided,42,elastic_transform,3,50.210000,10000
cifar100,onesided,42,elastic_transform,4,47.510000,10000
cifar100,onesided,42,elastic_transform,5,44.730000,10000
cifar100,onesided,42,pixelate,1,59.410000,10000
cifar100,onesided,42,pixelate,2,54.550000,10000
cifar100,onesided,42,pixelate,3,50.710000,10000
cifar100,onesided,42,pixelate,4,34.780000,10000
cifar100,onesided,42,pixelate,5,19.210000,10000
cifar100,onesided,42,jpeg_compression,1,56.110000,10000
cifar100,onesided,42,jpeg_compression,2,52.650000,10000
cifar100,onesided,42,jpeg_compression,3,51.160000,10000
cifar100,onesided,42,jpeg_compression,4,50.330000,10000
cifar100,onesided,42,jpeg_compression,5,48.370000,10000
