name,n_out,r_mean,q_mean,reg_contrib
conv1.0,64,99.38177490234375,99.38177490234375,93.27793884277344
conv2_x.0.residual_function.0,64,1.9977691173553467,1.9977691173553467,23.867942810058594
conv2_x.0.residual_function.3,64,0.9922766089439392,0.9922766089439392,12.398179054260254
conv2_x.1.residual_function.0,64,0.43484342098236084,0.43484342098236084,4.6344757080078125
conv2_x.1.residual_function.3,64,2.058292865753174,2.058292865753174,14.032524108886719
conv3_x.0.residual_function.0,128,0.5691053867340088,0.5691053867340088,3.7697858810424805
conv3_x.0.residual_function.3,128,0.8263581395149231,0.8263581395149231,7.768259048461914
conv3_x.0.shortcut.0,128,0.6426503658294678,0.6426503658294678,1.721113681793213
conv3_x.1.residual_function.0,128,0.46511563658714294,0.46511563658714294,3.8405914306640625
conv3_x.1.residual_function.3,128,1.5763047933578491,1.5763047933578491,10.448647499084473
conv4_x.0.residual_function.0,256,0.5076287984848022,0.5076287984848022,3.465531349182129
conv4_x.0.residual_function.3,256,1.5779417753219604,1.5779417753219604,14.47752571105957
conv4_x.0.shortcut.0,256,0.6295149922370911,0.6295149922370911,1.152112603187561
conv4_x.1.residual_function.0,256,1.249205231666565,1.249205231666565,11.007280349731445
conv4_x.1.residual_function.3,256,3.826935052871704,3.826935052871704,22.661067962646484
conv5_x.0.residual_function.0,512,1.7876861095428467,1.7876861095428467,7.111462593078613
conv5_x.0.residual_function.3,512,3.8320813179016113,3.8320813179016113,19.742507934570312
conv5_x.0.shortcut.0,512,2.009373903274536,2.009373903274536,3.280086040496826
conv5_x.1.residual_function.0,512,1.875910997390747,1.875910997390747,5.346327781677246
conv5_x.1.residual_function.3,512,3.0277516841888428,3.0277516841888428,6.8129167556762695
