arch,hidden_size,regularizer,sigma,deriv_mean,deriv_std,n_seeds
fc3_h16,16,weight_decay,0.9,-10.990000,3.979541,5
fc3_h16,16,weight_decay,1.0,-11.120000,3.763908,5
fc3_h16,16,no_regularization,0.0,-2.640000,1.494323,5
fc3_h16,16,no_regularization,0.1,-5.550000,2.343875,5
fc3_h16,16,no_regularization,0.2,-10.530000,5.311379,5
fc3_h16,16,no_regularization,0.3,-15.600000,6.605585,5
fc3_h16,16,no_regularization,0.4,-22.560000,8.574555,5
fc3_h16,16,no_regularization,0.5,-28.100000,10.598526,5
fc3_h16,16,no_regularization,0.6,-30.770000,11.862788,5
fc3_h16,16,no_regularization,0.7,-33.600000,11.668065,5
fc3_h16,16,no_regularization,0.8,-33.110000,7.478920,5
fc3_h16,16,no_regularization,0.9,-33.170000,6.647048,5
fc3_h16,16,no_regularization,1.0,-35.460000,8.273331,5
fc3_h32,32,mne_l2,0.0,-0.200000,0.452769,5
fc3_h32,32,mne_l2,0.1,-0.370000,0.325192,5
fc3_h32,32,mne_l2,0.2,-0.510000,0.578144,5
fc3_h32,32,mne_l2,0.3,-0.430000,0.479062,5
fc3_h32,32,mne_l2,0.4,-0.250000,0.678233,5
fc3_h32,32,mne_l2,0.5,-0.630000,0.831114,5
fc3_h32,32,mne_l2,0.6,-0.680000,0.828100,5
fc3_h32,32,mne_l2,0.7,-0.330000,0.618061,5
fc3_h32,32,mne_l2,0.8,-0.400000,1.111868,5
fc3_h32,32,mne_l2,0.9,-0.500000,0.553399,5
fc3_h32,32,mne_l2,1.0,-0.640000,2.458251,5
fc3_h32,32,weight_decay,0.0,-0.380000,0.501996,5
fc3_h32,32,weight_decay,0.1,-0.180000,0.075829,5
fc3_h32,32,weight_decay,0.2,-0.540000,0.400625,5
fc3_h32,32,weight_decay,0.3,-0.570000,0.433878,5
fc3_h32,32,weight_decay,0.4,-0.310000,0.322878,5
fc3_h32,32,weight_decay,0.5,-0.420000,0.601664,5
fc3_h32,32,weight_decay,0.6,-1.090000,0.399061,5
fc3_h32,32,weight_decay,0.7,-1.330000,0.822040,5
fc3_h32,32,weight_decay,0.8,-1.050000,0.864581,5
fc3_h32,32,weight_decay,0.9,-1.220000,0.481664,5
fc3_h32,32,weight_decay,1.0,-1.080000,0.762889,5
fc3_h32,32,no_regularization,0.0,-0.600000,0.863134,5
fc3_h32,32,no_regularization,0.1,-0.590000,0.581378,5
fc3_h32,32,no_regularization,0.2,-1.270000,0.612985,5
fc3_h32,32,no_regularization,0.3,-1.390000,0.804208,5
fc3_h32,32,no_regularization,0.4,-0.950000,0.711512,5
fc3_h32,32,no_regularization,0.5,-2.660000,1.530278,5
fc3_h32,32,no_regularization,0.6,-3.680000,1.717775,5
fc3_h32,32,no_regularization,0.7,-3.460000,1.454905,5
fc3_h32,32,no_regularization,0.8,-4.250000,2.522895,5
