arch,hidden_size,regularizer,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.0,86.26,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.05,86.22,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.1,86.19,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.15,86.2,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.2,86.36,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.25,86.21,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.3,85.97,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.35,85.87,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.4,85.58,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fc3_h4,4,mne_l2,40,16,16,rate_uniform,0.45,84.96,mnist-checkpoints/fc3_h4_L[16]_strict_seed40_ablation_mne_l2_l16_fc3_h4_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc3_h4_h8_h16_h32_h64_h128/strict_seed_train_rate_uniform_L16_T16/fc3_h4/mne_l2/seed_40/noise_sweep_matrix_mnist_fc3_h4_T16_mode_rate_uniform_schedule_normal_seed_40.csv
