epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,reg_grad_norm,reg_coeff_grad_norm,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.8974130958547373,86.43066146399741,0.04321533073199871,14.814,20.25,1735.0612564086914
1.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.8267565967176881,72.6078213516667,0.03630391067583335,19.06,22.29,1431.0772078037262
2.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.7866083374413688,61.63482844532084,0.030817414222660423,22.482,29.62,1225.8985126018524
3.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.7346565618234522,53.155998359456824,0.02657799917972841,24.822,28.87,1083.9259202480316
4.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.6940267031150096,46.65683512438947,0.023328417562194732,26.828,35.84,987.0779070854187
5.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.6700851499577007,41.85213112458181,0.020926065562290905,28.966,34.73,920.4065434932709
6.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.6626335399230118,38.3434615369173,0.019171730768458652,30.72,39.21,872.729926109314
7.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.5928636168884804,36.133038533921386,0.018066519266960693,33.708,40.5,829.1342777013779
8.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.32990019347356714,34.67904210805992,0.017339521054029958,35.508,47.58,802.3853112459183
9.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,34.06098993436388,0.017030494967181942,37.548,50.21,783.2311860322952
10.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,34.14756794391622,0.01707378397195811,39.108,52.65,770.526598572731
11.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,34.48848460313887,0.017244242301569436,41.146,47.44,756.2446520328522
12.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,35.23048975599496,0.01761524487799748,43.022,56.93,743.5343576669693
13.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,36.1196203219038,0.0180598101609519,44.78,56.99,732.1447920799255
14.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,37.05508101574266,0.01852754050787133,46.044,62.54,730.0873876810074
15.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,37.86914329444198,0.018934571647220993,47.202,62.31,726.7045987844467
16.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,38.69723215777019,0.019348616078885095,47.962,62.93,723.969029545784
17.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298968970775604,39.33275112971231,0.019666375564856155,48.386,55.26,724.9597482681274
18.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3298979272013125,40.0200132371689,0.020010006618584448,49.152,61.46,723.568799495697
19.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3299123477143095,40.48913979620668,0.02024456989810334,49.882,58.9,724.108876824379
20.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3299094637489075,40.87839113686443,0.020439195568432215,50.644,66.29,720.1138525009155
21.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3299422161201077,41.532306597424736,0.02076615329871237,50.804,62.65,722.8174057006836
22.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3299259449667333,41.93772108130589,0.020968860540652945,50.94,65.27,723.2166069746017
23.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.32990719762909443,42.25503528092003,0.021127517640460017,51.76,61.94,719.8631727695465
24.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3299269737185115,42.52320887826368,0.021261604439131842,51.42,62.49,719.0946863889694
25.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.32990781524602103,42.738049046888285,0.021369024523444143,52.326,67.47,720.4930905103683
26.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.3299391257488514,43.01783320547244,0.02150891660273622,52.37,66.86,718.483296751976
27.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.32990740357762405,43.271936222886296,0.02163596811144315,52.436,68.97,718.4166439771652
28.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.32993150527215065,43.436489570995725,0.021718244785497862,52.61,67.14,721.8737471103668
29.0,0.0,identity,1.0,0.0,1.0,1.0,1.0,0.0,0.32991914675973566,43.685420476621694,0.021842710238310848,53.432,68.79,716.2005645036697
30.0,0.08,identity,1.0,0.0,1.0,1.0,1.0438990547224078,0.0413177986069561,0.3299245009641818,43.903404713815625,0.021951702356907812,53.108,68.72,719.3953304290771
31.0,0.16,identity,1.0,0.0,1.0,1.0,1.0876973025939043,0.08251884751155249,0.33511992976488664,44.33460849467351,0.022167304247336754,53.272,64.67,724.3214851617813
32.0,0.24,identity,1.0,0.0,1.0,1.0,1.131548187921724,0.12381221283503506,0.32998341565851663,44.47226279264356,0.02223613139632178,54.008,70.12,719.6859612464905
33.0,0.32,identity,1.0,0.0,1.0,1.0,1.1753817116817855,0.16506763644840405,0.3300009240274844,44.49217095244973,0.022246085476224867,53.99,66.68,717.7576922178268
34.0,0.4,identity,1.0,0.0,1.0,1.0,1.2191384228903923,0.2062509425384614,0.33005036272661153,44.56694648462718,0.02228347324231359,54.298,62.38,718.2887727022171
35.0,0.48,identity,1.0,0.0,1.0,1.0,1.2626557462965435,0.24710713018236868,0.33515865479588813,44.79368977553954,0.02239684488776977,54.184,68.11,722.8146982192993
36.0,0.56,identity,1.0,0.0,1.0,1.0,1.306825158846043,0.288782064109812,0.3299780608443043,44.99316036380091,0.022496580181900455,54.82,71.82,714.6378695964813
37.0,0.64,identity,1.0,0.0,1.0,1.0,1.3508022953482235,0.33017461234346374,0.3299327410395493,45.1340341163297,0.02256701705816485,54.82,72.29,718.4027392864227
38.0,0.72,identity,1.0,0.0,1.0,1.0,1.3943938562632217,0.37120051777271357,0.3300013353147775,45.258650147877894,0.022629325073938947,54.9,71.3,718.1768819093704
