model,method,method_label,seed,L,T,site,sigma,noise_seed,accuracy,checkpoint
cnn2_c8_c16,l2_sp,L2-SP,41,16,16,both,0,20301801,87.460000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,41,16,16,both,0.5,20301802,79.110000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,l2_sp,L2-SP,41,16,16,both,1,20301803,48.530000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_sp_rc0p01_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,41,16,16,both,0,20301801,87.850000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,41,16,16,both,0.5,20301802,72.720000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,l2,L2,41,16,16,both,1,20301803,34.680000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_l2_rcnone_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,41,16,16,both,0,20301801,87.570000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,41,16,16,both,0.5,20301802,78.220000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,orthogonal,Orthogonal,41,16,16,both,1,20301803,43.610000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_orthogonal_rc0p0001_seed41_ep30_L16_trainT0.pth
cnn2_c8_c16,threshold_l2,Threshold-L2,41,16,16,both,0,20301801,87.470000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_threshold_l2_rc0p0001_seed41_ep30_L16_trainT0.pth
