stage,epoch,epochs,regularizer,reg_coeff,param_kind,layer,numel,value_mean,value_rms,value_l2,grad_ce_l2,grad_reg_l2,grad_total_l2,cos_ce_reg,dot_ce_reg,sign_agree_frac,grad_ce_mean,grad_reg_mean,ce_loss,reg_loss
early,0,300,manual_l2,0.00025,bn_gamma,layer1.1,64,1.0042427778244019,1.0069481134414673,8.055584907531738,0.030499057844281197,0.0,0.030499057844281197,nan,0.0,0.0,-8.152672671712935e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer1.2,1,7.963297367095947,7.963297367095947,7.963297367095947,8.184736361727118e-05,0.0,8.184736361727118e-05,nan,0.0,0.0,-8.184736361727118e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer1.5,64,0.9991429448127747,0.9997828602790833,7.998262882232666,0.019241103902459145,0.0,0.019241103902459145,nan,0.0,0.0,-1.8404563888907433e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer1.6,1,8.001648902893066,8.001648902893066,8.001648902893066,0.00020370259881019592,0.0,0.00020370259881019592,nan,0.0,0.0,0.00020370259881019592,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer2.1,128,1.0009918212890625,1.0011435747146606,11.326645851135254,0.00834586564451456,0.0,0.00834586564451456,nan,0.0,0.0,-6.469799700425938e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer2.2,1,7.9853901863098145,7.9853901863098145,7.9853901863098145,0.00013532908633351326,0.0,0.00013532908633351326,nan,0.0,0.0,0.00013532908633351326,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer2.5,128,1.0003166198730469,1.0004305839538574,11.318580627441406,0.006735918112099171,0.0,0.006735918112099171,nan,0.0,0.0,-4.625017936632503e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer2.6,1,7.996069431304932,7.996069431304932,7.996069431304932,9.450968354940414e-05,0.0,9.450968354940414e-05,nan,0.0,0.0,9.450968354940414e-05,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,bn_gamma,layer3.1,256,1.0001680850982666,1.0002222061157227,16.003555297851562,0.005190678406506777,0.0,0.005190678406506777,nan,0.0,0.0,-1.0268004189128987e-06,0.0,2.1011393070220947,1.8728370666503906
early,0,300,manual_l2,0.00025,lambda,layer3.2,1,7.995002746582031,7.995002746582031,7.995002746582031,4.148262087255716e-05,0.0,4.148262087255716e-05,nan,0.0,0.0,4.148262087255716e-05,0.0,2.1011393070220947,1.8728370666503906
