L,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
16,63.850000,63.770000,63.560000,63.950000,63.570000,63.390000,63.170000,62.020000,60.310000,58.040000,54.730000,49.920000,43.660000
