method,checkpoint,parameter_type,layer,value
weights_only,best_val,lambda,input_if,7.528100490570068
weights_only,best_val,gamma_rms,bns.0,1.2148761749267578
weights_only,best_val,gamma_rms,bns.1,1.1551566123962402
weights_only,best_val,gamma_rms,bns.2,1.0988465547561646
weights_only,best_val,gamma_rms,bns.3,1.1115055084228516
weights_only,best_val,gamma_rms,bns.4,1.1015416383743286
weights_only,best_val,gamma_rms,bns.5,1.2660919427871704
weights_only,best_val,lambda,ifs.0,7.734394550323486
weights_only,best_val,lambda,ifs.1,7.831546306610107
weights_only,best_val,lambda,ifs.2,7.771499156951904
weights_only,best_val,lambda,ifs.3,7.761874675750732
weights_only,best_val,lambda,ifs.4,7.670017242431641
weights_only,best_val,lambda,ifs.5,7.86989164352417
weights_only,final,lambda,input_if,7.491420269012451
weights_only,final,gamma_rms,bns.0,1.225319743156433
weights_only,final,gamma_rms,bns.1,1.1656807661056519
weights_only,final,gamma_rms,bns.2,1.1070044040679932
weights_only,final,gamma_rms,bns.3,1.1206707954406738
weights_only,final,gamma_rms,bns.4,1.109833836555481
weights_only,final,gamma_rms,bns.5,1.2904635667800903
weights_only,final,lambda,ifs.0,7.720420837402344
weights_only,final,lambda,ifs.1,7.818968772888184
weights_only,final,lambda,ifs.2,7.75160551071167
weights_only,final,lambda,ifs.3,7.74039363861084
weights_only,final,lambda,ifs.4,7.640973091125488
weights_only,final,lambda,ifs.5,7.860138893127441
all_parameters,best_val,lambda,input_if,6.3959150314331055
all_parameters,best_val,gamma_rms,bns.0,1.0759470462799072
all_parameters,best_val,gamma_rms,bns.1,0.9958204030990601
all_parameters,best_val,gamma_rms,bns.2,0.96200031042099
all_parameters,best_val,gamma_rms,bns.3,0.9741676449775696
all_parameters,best_val,gamma_rms,bns.4,0.9638110995292664
all_parameters,best_val,gamma_rms,bns.5,1.158055067062378
all_parameters,best_val,lambda,ifs.0,6.625331878662109
all_parameters,best_val,lambda,ifs.1,6.738369941711426
all_parameters,best_val,lambda,ifs.2,6.643501281738281
all_parameters,best_val,lambda,ifs.3,6.64042329788208
all_parameters,best_val,lambda,ifs.4,6.5454325675964355
all_parameters,best_val,lambda,ifs.5,6.76765775680542
all_parameters,final,lambda,input_if,6.380157947540283
all_parameters,final,gamma_rms,bns.0,1.0764907598495483
all_parameters,final,gamma_rms,bns.1,0.9958357214927673
all_parameters,final,gamma_rms,bns.2,0.9618920087814331
all_parameters,final,gamma_rms,bns.3,0.9740872979164124
all_parameters,final,gamma_rms,bns.4,0.9636653065681458
all_parameters,final,gamma_rms,bns.5,1.160556674003601
all_parameters,final,lambda,ifs.0,6.612646579742432
all_parameters,final,lambda,ifs.1,6.726907253265381
all_parameters,final,lambda,ifs.2,6.6305975914001465
all_parameters,final,lambda,ifs.3,6.627597332000732
all_parameters,final,lambda,ifs.4,6.531366348266602
all_parameters,final,lambda,ifs.5,6.756506443023682
