arch,regularizer,seed,L,T,sigma,acc,checkpoint,matrix_csv
fc2_h64,mne_l2,43,16,16,0.8,96.6,mnist-checkpoints/fc2_h64_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h64,mne_l2,43,16,16,0.9,96.51,mnist-checkpoints/fc2_h64_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h64,mne_l2,43,16,16,1.0,96.47,mnist-checkpoints/fc2_h64_L[16]_strict_seed43_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h64,mne_l2,44,16,16,0.0,96.55,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.1,96.53,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.2,96.45,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.3,96.56,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.4,96.44,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.5,96.56,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.6,96.55,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.7,96.52,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.8,96.46,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,0.9,96.39,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
fc2_h64,mne_l2,44,16,16,1.0,96.34,mnist-checkpoints/fc2_h64_L[16]_strict_seed44_ablation_mne_l2_l16_fc2_h64_rc5em02.pth,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h64_h128_h256/strict_seed_train_rate_uniform_L16_T16/fc2_h64/mne_l2/seed_44/noise_sweep_matrix_mnist_fc2_h64_T16_mode_rate_uniform_schedule_normal_seed_44.csv
