arch,regularizer,sigma,acc_mean,acc_std,n_seeds
fc2_h128,mne_l2,0.0,97.052000,0.067602,5
fc2_h128,mne_l2,0.1,96.998000,0.071903,5
fc2_h128,mne_l2,0.2,97.000000,0.083666,5
fc2_h128,mne_l2,0.3,96.994000,0.070214,5
fc2_h128,mne_l2,0.4,97.002000,0.053572,5
fc2_h128,mne_l2,0.5,96.992000,0.111893,5
fc2_h128,mne_l2,0.6,96.914000,0.051284,5
fc2_h128,mne_l2,0.7,96.908000,0.092304,5
fc2_h128,mne_l2,0.8,96.876000,0.115239,5
fc2_h128,mne_l2,0.9,96.870000,0.064420,5
fc2_h128,mne_l2,1.0,96.892000,0.064187,5
fc2_h128,no_regularization,0.0,97.316000,0.126214,5
fc2_h128,no_regularization,0.1,97.292000,0.130652,5
fc2_h128,no_regularization,0.2,97.236000,0.094763,5
fc2_h128,no_regularization,0.3,97.192000,0.142373,5
fc2_h128,no_regularization,0.4,97.144000,0.153395,5
fc2_h128,no_regularization,0.5,97.074000,0.210190,5
fc2_h128,no_regularization,0.6,96.958000,0.163615,5
fc2_h128,no_regularization,0.7,96.886000,0.190079,5
fc2_h128,no_regularization,0.8,96.878000,0.215569,5
fc2_h128,no_regularization,0.9,96.740000,0.143353,5
fc2_h128,no_regularization,1.0,96.610000,0.204328,5
fc2_h128,weight_decay,0.0,97.888000,0.102323,5
fc2_h128,weight_decay,0.1,97.876000,0.099398,5
fc2_h128,weight_decay,0.2,97.826000,0.124419,5
fc2_h128,weight_decay,0.3,97.788000,0.113446,5
fc2_h128,weight_decay,0.4,97.814000,0.108074,5
fc2_h128,weight_decay,0.5,97.774000,0.106207,5
fc2_h128,weight_decay,0.6,97.736000,0.116748,5
fc2_h128,weight_decay,0.7,97.686000,0.120125,5
fc2_h128,weight_decay,0.8,97.684000,0.140285,5
fc2_h128,weight_decay,0.9,97.622000,0.101341,5
fc2_h128,weight_decay,1.0,97.584000,0.148088,5
fc2_h256,mne_l2,0.0,97.326000,0.032863,5
fc2_h256,mne_l2,0.1,97.270000,0.038079,5
fc2_h256,mne_l2,0.2,97.302000,0.072595,5
fc2_h256,mne_l2,0.3,97.310000,0.073144,5
fc2_h256,mne_l2,0.4,97.270000,0.081240,5
fc2_h256,mne_l2,0.5,97.264000,0.049295,5
fc2_h256,mne_l2,0.6,97.234000,0.065422,5
fc2_h256,mne_l2,0.7,97.190000,0.084853,5
