epoch,alpha,q_assignment,q_mean,q_std,q_min,q_max,q_os_mean,q_os_std,p_gt_tau,p_at_qmax,q_cap,reg_grad_norm,reg_coeff_grad_norm,ce_grad_norm,reg_ce_ratio,ann_train_acc,ann_test_acc,train_loss
0.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.5063912101718776,0.0,0.0,38.551662882206216,0.01927583144110311,0.798503951120367,0.024139932449999183,4.904,7.69,1858.8262763023376
1.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.5688773565127722,0.0,0.0,35.526376301079985,0.017763188150539993,0.9585234947581799,0.01853182342183627,8.41,13.64,1702.96333360672
2.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.6719320276204277,0.0,0.0,35.33926058182965,0.017669630290914826,1.1378749887343536,0.015528621743033977,12.232,15.53,1594.0506711006165
3.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7240670462093695,0.0,0.0,36.89635648236265,0.018448178241181324,1.3728716605709665,0.013437656826209721,16.86,23.57,1487.7347419261932
4.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7695929418744334,0.0,0.0,39.052488780602786,0.019526244390301394,1.6075509991969663,0.012146578491167934,21.764,30.52,1397.5668621063232
5.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7876806452756038,0.0,0.0,41.19457900669182,0.020597289503345908,1.4953536054894718,0.013774193226092385,25.936,33.92,1326.907488822937
6.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7788651077948567,0.0,0.0,43.297749879795376,0.02164887493989769,1.681684803730393,0.01287332494881034,28.58,38.87,1283.0917000770569
7.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7693899383630289,0.0,0.0,45.25111425724472,0.02262555712862236,1.7125043743249273,0.013211970414698298,31.856,41.92,1242.45827460289
8.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7622059007434894,0.0,0.0,47.03531046730334,0.02351765523365167,1.603824928309553,0.014663480295470595,34.452,45.6,1208.6042370796204
9.0,0.0,strength,1.0,0.0,1.0,1.0,1.0,0.0,0.7556772338764747,0.0,0.0,48.517615236011935,0.024258807618005966,1.7574544101398692,0.013803378043857933,36.422,43.43,1187.4322006702423
