dataset,method,method_label,sigma,n,acc_mean,acc_std
cifar10,old_detach,MNE-standard,0,1,47.710000,0.000000
cifar10,old_detach,MNE-standard,0.1,1,47.540000,0.000000
cifar10,old_detach,MNE-standard,0.2,1,47.400000,0.000000
cifar10,old_detach,MNE-standard,0.3,1,47.460000,0.000000
cifar10,old_detach,MNE-standard,0.4,1,47.500000,0.000000
cifar10,old_detach,MNE-standard,0.5,1,47.210000,0.000000
cifar10,old_detach,MNE-standard,0.6,1,47.480000,0.000000
cifar10,old_detach,MNE-standard,0.7,1,46.960000,0.000000
cifar10,old_detach,MNE-standard,0.8,1,46.990000,0.000000
cifar10,old_detach,MNE-standard,0.9,1,46.560000,0.000000
cifar10,old_detach,MNE-standard,1,1,46.740000,0.000000
