method,method_label,clean_sigma,clean_acc_mean,end_sigma,end_acc_mean,absolute_drop,relative_retention
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,89.160000,3,22.640000,66.520000,0.253926
old_detach,Old MNE (detach λ),0,88.700000,3,24.270000,64.430000,0.273619
weight_decay,L2-all (all params),0,89.490000,3,22.850000,66.640000,0.255336
weight_decay_weights_only,L2-wo (weights only),0,88.840000,3,23.510000,65.330000,0.264633
