method,method_label,sigma,n,acc_mean,acc_std
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0,1,89.160000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.25,1,85.630000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.5,1,76.940000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),0.75,1,67.160000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1,1,58.430000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.25,1,50.970000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.5,1,43.630000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),1.75,1,38.540000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2,1,34.200000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.25,1,30.310000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.5,1,27.100000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),2.75,1,24.380000,0.000000
calibrated_mne_a0p1,Calibrated MNE (α=0.1),3,1,22.640000,0.000000
old_detach,Old MNE (detach λ),0,1,88.700000,0.000000
old_detach,Old MNE (detach λ),0.25,1,87.010000,0.000000
old_detach,Old MNE (detach λ),0.5,1,79.280000,0.000000
old_detach,Old MNE (detach λ),0.75,1,69.520000,0.000000
old_detach,Old MNE (detach λ),1,1,60.430000,0.000000
old_detach,Old MNE (detach λ),1.25,1,52.980000,0.000000
old_detach,Old MNE (detach λ),1.5,1,45.360000,0.000000
old_detach,Old MNE (detach λ),1.75,1,40.790000,0.000000
old_detach,Old MNE (detach λ),2,1,36.410000,0.000000
old_detach,Old MNE (detach λ),2.25,1,32.170000,0.000000
old_detach,Old MNE (detach λ),2.5,1,28.740000,0.000000
old_detach,Old MNE (detach λ),2.75,1,26.090000,0.000000
old_detach,Old MNE (detach λ),3,1,24.270000,0.000000
weight_decay,L2-all (all params),0,1,89.490000,0.000000
weight_decay,L2-all (all params),0.25,1,87.550000,0.000000
weight_decay,L2-all (all params),0.5,1,78.890000,0.000000
weight_decay,L2-all (all params),0.75,1,68.290000,0.000000
weight_decay,L2-all (all params),1,1,58.770000,0.000000
weight_decay,L2-all (all params),1.25,1,50.690000,0.000000
weight_decay,L2-all (all params),1.5,1,43.560000,0.000000
weight_decay,L2-all (all params),1.75,1,38.350000,0.000000
weight_decay,L2-all (all params),2,1,33.740000,0.000000
weight_decay,L2-all (all params),2.25,1,30.400000,0.000000
weight_decay,L2-all (all params),2.5,1,26.970000,0.000000
weight_decay,L2-all (all params),2.75,1,24.570000,0.000000
weight_decay,L2-all (all params),3,1,22.850000,0.000000
weight_decay_weights_only,L2-wo (weights only),0,1,88.840000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.25,1,87.380000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.5,1,78.700000,0.000000
weight_decay_weights_only,L2-wo (weights only),0.75,1,68.350000,0.000000
weight_decay_weights_only,L2-wo (weights only),1,1,59.950000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.25,1,52.330000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.5,1,45.320000,0.000000
weight_decay_weights_only,L2-wo (weights only),1.75,1,40.000000,0.000000
weight_decay_weights_only,L2-wo (weights only),2,1,35.500000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.25,1,31.240000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.5,1,27.910000,0.000000
weight_decay_weights_only,L2-wo (weights only),2.75,1,25.270000,0.000000
weight_decay_weights_only,L2-wo (weights only),3,1,23.510000,0.000000
