dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3.25,5,46.888000,1.098212
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3.5,5,45.318000,1.270756
cifar100,l1,l1_rc1e-5,l1,1e-05,none,3.75,5,43.588000,1.274665
cifar100,l1,l1_rc1e-5,l1,1e-05,none,4,5,41.852000,1.559429
cifar100,l1,l1_rc1e-5,l1,1e-05,none,4.25,5,39.648000,2.213226
cifar100,l1,l1_rc1e-5,l1,1e-05,none,4.5,5,37.328000,2.604193
cifar100,l1,l1_rc1e-5,l1,1e-05,none,4.75,5,34.908000,3.464768
cifar100,l1,l1_rc1e-5,l1,1e-05,none,5,5,32.060000,3.923990
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,5,62.412000,0.152709
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.25,5,62.328000,0.159593
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.5,5,62.264000,0.146390
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0.75,5,62.258000,0.231991
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1,5,62.134000,0.246840
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.25,5,62.106000,0.299717
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.5,5,61.796000,0.221878
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,1.75,5,61.394000,0.378854
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2,5,60.934000,0.304844
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.25,5,60.208000,0.377981
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.5,5,59.508000,0.427691
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,2.75,5,58.196000,0.595592
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3,5,57.540000,0.509657
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3.25,5,56.184000,0.830620
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3.5,5,54.758000,0.654156
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,3.75,5,53.306000,0.948963
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4,5,51.882000,1.001259
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4.25,5,50.158000,1.434179
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4.5,5,48.254000,1.510242
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,4.75,5,46.034000,1.972569
cifar100,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,5,5,44.008000,2.018928
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0,5,65.820000,0.218060
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.25,5,65.758000,0.221066
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.5,5,65.758000,0.313560
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.75,5,65.728000,0.326833
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1,5,65.646000,0.361566
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.25,5,65.398000,0.341716
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.5,5,64.814000,0.272268
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,1.75,5,63.900000,0.377094
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2,5,62.408000,0.595374
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.25,5,60.180000,0.878806
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.5,5,56.702000,1.088563
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,2.75,5,52.162000,1.831890
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3,5,46.020000,2.494253
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3.25,5,39.020000,2.945497
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3.5,5,31.220000,3.233303
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,3.75,5,23.892000,3.203361
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,4,5,17.652000,2.722934
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,4.25,5,12.848000,1.850911
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,4.5,5,9.454000,1.495520
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,4.75,5,7.306000,1.200367
cifar100,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,5,5,5.588000,0.915898
