branch,epoch,alpha,lr,loss_sum,train_acc,val_acc
shared_warmup,1,0.0,0.009972609476841367,237.18454757332802,82.14166666666667,85.66
shared_warmup,2,0.0,0.009890738003669028,172.30600214004517,86.98,86.81
shared_warmup,3,0.0,0.009755282581475769,156.8658448457718,88.07,87.22
shared_warmup,4,0.0,0.009567727288213004,146.9877668917179,88.80666666666667,86.96
shared_warmup,5,0.0,0.009330127018922194,141.2950373440981,89.31333333333333,86.45
A_l2_wo,6,0.0,0.009045084971874737,136.4390648305416,89.52833333333334,88.0
A_l2_wo,7,0.0,0.00871572412738697,133.77947694063187,89.79666666666667,88.28
A_l2_wo,8,0.0,0.008345653031794291,128.1144423633814,90.21333333333334,88.07
A_l2_wo,9,0.0,0.007938926261462365,125.44956610351801,90.42,87.8
A_l2_wo,10,0.0,0.007499999999999999,122.26266451179981,90.62,88.23
A_l2_wo,11,0.0,0.007033683215379001,119.44000565260649,90.89166666666667,87.66
A_l2_wo,12,0.0,0.0065450849718747366,117.30213116109371,91.025,87.9
A_l2_wo,13,0.0,0.006039558454088796,114.92283160239458,91.24,88.52
A_l2_wo,14,0.0,0.0055226423163382676,112.08952391892672,91.36666666666666,89.04
A_l2_wo,15,0.0,0.005000000000000001,110.1244315430522,91.55833333333334,88.46
A_l2_wo,16,0.0,0.0044773576836617335,106.68720328062773,91.82833333333333,88.33
A_l2_wo,17,0.0,0.003960441545911203,104.65833052247763,91.98166666666667,88.8
A_l2_wo,18,0.0,0.003454915028125263,101.81010923534632,92.07166666666667,88.27
A_l2_wo,19,0.0,0.0029663167846209998,100.73426874727011,92.235,88.71
A_l2_wo,20,0.0,0.002500000000000001,97.745211340487,92.42,89.03
A_l2_wo,21,0.0,0.0020610737385376348,96.06041169911623,92.65833333333333,88.47
A_l2_wo,22,0.0,0.0016543469682057104,94.4698793515563,92.72,88.77
A_l2_wo,23,0.0,0.0012842758726130299,92.92716930061579,92.885,88.19
A_l2_wo,24,0.0,0.0009549150281252634,92.26322339475155,92.93,88.85
A_l2_wo,25,0.0,0.0006698729810778065,89.80265877395868,93.14666666666666,88.74
A_l2_wo,26,0.0,0.00043227271178699516,88.86139614135027,93.22333333333333,88.91
A_l2_wo,27,0.0,0.00024471741852423234,88.10629427433014,93.37333333333333,88.67
A_l2_wo,28,0.0,0.00010926199633097157,87.6481326147914,93.36166666666666,88.81
A_l2_wo,29,0.0,2.7390523158632995e-05,86.91735402494669,93.37833333333333,88.8
A_l2_wo,30,0.0,0.0,86.67994553595781,93.46333333333334,88.83
B_global_cmne,6,0.010000000000000002,0.009045084971874737,144.87722077965736,89.595,88.12
B_global_cmne,7,0.020000000000000004,0.00871572412738697,141.91942359507084,89.82333333333334,87.95
B_global_cmne,8,0.03,0.008345653031794291,138.54288682341576,90.05166666666666,86.73
B_global_cmne,9,0.04000000000000001,0.007938926261462365,135.8068311959505,90.41166666666666,87.74
B_global_cmne,10,0.05,0.007499999999999999,132.5038679689169,90.49166666666666,88.07
B_global_cmne,11,0.06,0.007033683215379001,129.93689699470997,90.83833333333334,88.08
B_global_cmne,12,0.06999999999999999,0.0065450849718747366,127.112105473876,90.96166666666667,87.71
B_global_cmne,13,0.08000000000000002,0.006039558454088796,125.25646017491817,91.23833333333333,88.67
B_global_cmne,14,0.09000000000000001,0.0055226423163382676,123.00447591394186,91.37833333333333,89.14
B_global_cmne,15,0.1,0.005000000000000001,120.63764574378729,91.57,88.91
B_global_cmne,16,0.1,0.0044773576836617335,117.8516070023179,91.85166666666667,88.51
B_global_cmne,17,0.1,0.003960441545911203,115.90172763168812,91.84666666666666,88.94
B_global_cmne,18,0.1,0.003454915028125263,112.52908240258694,92.1,88.12
B_global_cmne,19,0.1,0.0029663167846209998,111.66647055000067,92.25666666666666,88.49
B_global_cmne,20,0.1,0.002500000000000001,108.96553651243448,92.40166666666667,89.1
B_global_cmne,21,0.1,0.0020610737385376348,106.8954838141799,92.6,88.74
B_global_cmne,22,0.1,0.0016543469682057104,105.23438411206007,92.77666666666667,88.78
B_global_cmne,23,0.1,0.0012842758726130299,103.7342659458518,92.97166666666666,88.58
B_global_cmne,24,0.1,0.0009549150281252634,103.02014818042517,92.94333333333333,88.96
B_global_cmne,25,0.1,0.0006698729810778065,101.19464828073978,93.12333333333333,88.77
B_global_cmne,26,0.1,0.00043227271178699516,100.07810804247856,93.175,88.98
B_global_cmne,27,0.1,0.00024471741852423234,99.33077923208475,93.31833333333333,89.12
B_global_cmne,28,0.1,0.00010926199633097157,98.31932085752487,93.39166666666667,88.86
B_global_cmne,29,0.1,2.7390523158632995e-05,97.89647053927183,93.37333333333333,88.86
B_global_cmne,30,0.1,0.0,97.22628643363714,93.45333333333333,88.68
C_layerwise_cmne,6,0.010000000000000002,0.009045084971874737,145.57864589989185,89.575,88.19
C_layerwise_cmne,7,0.020000000000000004,0.00871572412738697,142.23807023465633,89.77833333333334,88.47
C_layerwise_cmne,8,0.03,0.008345653031794291,137.92801482975483,90.12,86.78
C_layerwise_cmne,9,0.04000000000000001,0.007938926261462365,135.89803786575794,90.41166666666666,88.08
C_layerwise_cmne,10,0.05,0.007499999999999999,132.7999352067709,90.47666666666667,87.95
C_layerwise_cmne,11,0.06,0.007033683215379001,130.3482250124216,90.885,87.6
C_layerwise_cmne,12,0.06999999999999999,0.0065450849718747366,128.06356394290924,90.96,87.7
C_layerwise_cmne,13,0.08000000000000002,0.006039558454088796,125.82688523828983,91.155,88.46
C_layerwise_cmne,14,0.09000000000000001,0.0055226423163382676,122.85152171552181,91.29166666666667,88.67
C_layerwise_cmne,15,0.1,0.005000000000000001,121.08937761932611,91.52,88.67
C_layerwise_cmne,16,0.1,0.0044773576836617335,117.79429829865694,91.81,88.39
C_layerwise_cmne,17,0.1,0.003960441545911203,116.00644988566637,91.96333333333334,88.76
C_layerwise_cmne,18,0.1,0.003454915028125263,113.18860810250044,92.15666666666667,88.35
C_layerwise_cmne,19,0.1,0.0029663167846209998,111.09350273758173,92.30666666666667,88.54
