dataset,arch,method,method_label,seed,L,T,sigma,condition,use_for_energy,noise_position,n_samples,accuracy,firing_density_mean,firing_density_median,firing_density_p95,event_synops_mean,event_synops_median,event_synops_p95,rest_acs_mean,rest_acs_median,rest_acs_p95,first_macs_per_sample,energy_mJ_mean,energy_mJ_median,energy_mJ_p95,checkpoint
cifar10,vgg16,l2,L2,42,16,4,1,noise,no,post_input_if,10000,10.32,0.13287704366780012,0.13306498356002697,0.14060936797437049,256652569.95095,256496605.5,262914751.675,249866521.95175,249710557.5,256128703.675,7077888.0,0.25743815455657504,0.25729778655,0.2630741181075,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2,L2,42,16,8,0,clean,yes,post_input_if,10000,90.38000000000001,0.10270352818331271,0.10323108700539568,0.11776761940057329,258238713.4438375,259404461.5,296801345.72499996,244666617.4438375,245832365.5,283229249.72499996,14155776.0,0.2853165252994538,0.28636569855,0.3200228943525,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2,L2,42,16,8,1,noise,no,post_input_if,10000,12.889999999999999,0.11974920263496233,0.11975953904844874,0.12911528443261017,498618374.5861,496861187.25,518783087.7,485046278.5861,483289091.25,505210991.7,14155776.0,0.50165822032749,0.500076751725,0.51980646213,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2,L2,42,16,16,0,clean,yes,post_input_if,10000,90.5,0.10273165059261184,0.10326303166451214,0.1177754683460263,527136764.501275,529707856.5,603772406.5,499992572.501275,502563664.5,576628214.5,28311552.0,0.5802264544511476,0.58254043725,0.64919853225,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2,L2,42,16,16,1,noise,no,post_input_if,10000,33.86,0.10935330454874381,0.10901109434717851,0.12159023147692784,978588197.61815,973806676.0,1044290351.65,951444005.61815,946662484.0,1017146159.65,28311552.0,0.986532744256335,0.9822293747999999,1.0456646828849998,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2,L2,43,16,4,0,clean,yes,post_input_if,10000,90.35,0.10361862327520796,0.10429634807778777,0.1194764061797437,128162793.19356875,128798103.0,147295839.525,121376745.19436875,122012055.0,140509791.525,7077888.0,0.14179735547493189,0.1423691343,0.1590170971725,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,4,1,noise,no,post_input_if,10000,10.0,0.1370404619175753,0.1373119765906025,0.14605932441546762,261926904.5073875,262145247.25,266972959.4,255140856.5081875,255359199.25,260186911.4,7077888.0,0.2621850556573687,0.262381564125,0.26672650506,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,8,0,clean,yes,post_input_if,10000,90.62,0.10373953163640963,0.10440107386746852,0.119527890870897,260078589.61515,261446918.25,298333302.55,246506493.61515,247874822.25,284761206.55,14155776.0,0.28697241385363503,0.288203909625,0.321401655495,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,8,1,noise,no,post_input_if,10000,10.17,0.12213803495777598,0.12233926237915918,0.1325329238562275,501373275.467425,500879148.5,519090175.825,487801179.467425,487307052.5,505518079.825,14155776.0,0.5041376311206824,0.50369291685,0.5200828414425,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,16,0,clean,yes,post_input_if,10000,90.59,0.10376633955042996,0.10443718999409847,0.11962246243044626,530490601.494425,533249343.0,606126561.4,503346409.494425,506105151.0,578982369.4,28311552.0,0.5832449077449826,0.5857277751000001,0.65131727166,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,43,16,16,1,noise,no,post_input_if,10000,22.53,0.11030459138060646,0.11003716558003597,0.12334852698895571,971897360.576375,966845651.5,1035409165.75,944753168.576375,939701459.5,1008264973.75,28311552.0,0.9805109909187375,0.97596445275,1.037671615575,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed43_L16.pth
cifar10,vgg16,l2,L2,44,16,4,0,clean,yes,post_input_if,10000,90.11,0.10386492551076326,0.10457429954473921,0.12032887849876349,128606706.4253375,129193479.125,147861077.98749998,121820658.4261375,122407431.125,141075029.98749998,7077888.0,0.14219687738352377,0.14272497281250002,0.15952581178875,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,4,1,noise,no,post_input_if,10000,10.01,0.13685698531994714,0.13708715644671762,0.14664109044795415,262468484.2053625,262785577.125,268735623.3875,255682436.2061625,255999529.125,261949575.3875,7077888.0,0.2626724773855463,0.26295786101249996,0.26831290264875,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,8,0,clean,yes,post_input_if,10000,90.39,0.10397685134119267,0.10469044198235161,0.12042242914652652,260988071.0027375,262399906.25,299806333.7,247415975.0027375,248827810.25,286234237.7,14155776.0,0.2877909471024637,0.28906159882500004,0.32272738353,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,8,1,noise,no,post_input_if,10000,10.59,0.12333349653285183,0.12353932771751348,0.1345247117735499,507834123.931425,507412791.75,525467224.925,494262027.931425,493840695.75,511895128.925,14155776.0,0.5099523947382825,0.509573195775,0.5258221856325,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,16,0,clean,yes,post_input_if,10000,90.64,0.10401214057318597,0.10468385545469874,0.12045632780884666,532286481.81115,535170307.5,609620531.9,505142289.81115,508026115.5,582476339.9,28311552.0,0.5848612000300351,0.58745664315,0.65446184511,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2,L2,44,16,16,1,noise,no,post_input_if,10000,18.23,0.11141226391689384,0.11137082765428283,0.1247374500302102,983416350.83455,978094449.25,1040600177.8,956272158.83455,950950257.25,1013455985.8,28311552.0,0.9908780821510951,0.9860883707250001,1.04234352642,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_rcnone_seed44_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,4,0,clean,yes,post_input_if,10000,90.67,0.10321189913303733,0.10386031994716727,0.11876787144503145,107775101.0468914,107471187.0,126141998.83749999,100989053.0476914,100685139.0,119355950.83749999,7077888.0,0.12344843254292227,0.12317490990000002,0.13997864055374998,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,4,1,noise,no,post_input_if,10000,88.85,0.10428357135580597,0.10499583731452339,0.11987901866007195,215946285.82755548,215510996.1875,230437410.85625,209160237.82835546,208724948.1875,223651362.85625,7077888.0,0.22080249884551995,0.22041073816875,0.233844511370625,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,8,0,clean,yes,post_input_if,10000,90.94,0.10342422410704248,0.10407130838298112,0.11887931549291815,218584117.3575375,217925588.25,255306925.34999996,205012021.3575375,204353492.25,241734829.34999996,14155776.0,0.24962738882178379,0.24903471262500002,0.282677916015,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,8,1,noise,no,post_input_if,10000,90.46,0.10396302376067897,0.10463445649730216,0.11941256077169514,435568496.4292875,434651817.0,464133322.29999995,421996400.4292875,421079721.0,450561226.29999995,14155776.0,0.4449133299863588,0.4440883185,0.47062167327,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,16,0,clean,yes,post_input_if,10000,91.11,0.10345668359111539,0.10412301262505622,0.11890990991386577,446785710.76805,445729278.75,519726254.59999996,419641518.76805,418585086.75,492582062.59999996,28311552.0,0.507910506091245,0.506959717275,0.5735569955400001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,40,16,16,1,noise,no,post_input_if,10000,90.93,0.10374987446078295,0.1044293959363759,0.11922575586991344,881075611.642275,879729426.0,937506680.3,853931419.642275,852585234.0,910362488.3,28311552.0,0.8987714168780476,0.8975598498,0.9495593786700001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed40_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,4,0,clean,yes,post_input_if,10000,90.62,0.10336931099651529,0.10397404732464029,0.11866780013489207,108005589.66653281,107809965.375,126325522.4125,101219541.66733281,101023917.375,119539474.4125,7077888.0,0.12365587230059955,0.1234798104375,0.14014381177125,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,4,1,noise,no,post_input_if,10000,88.12,0.104410901054547,0.1050537987578687,0.1197041683059802,216564945.97607657,216176124.25,230593226.1125,209778897.97687656,209390076.25,223807178.1125,7077888.0,0.2213592929791889,0.221009353425,0.23398474510125006,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,8,0,clean,yes,post_input_if,10000,90.96,0.10358106522594426,0.10417230180699191,0.11873245788135117,219079254.15641874,218465174.375,255696255.25,205507158.15641874,204893078.375,242124159.25,14155776.0,0.2500730119407769,0.24952034013750002,0.2830283129250001,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,8,1,noise,no,post_input_if,10000,90.14999999999999,0.10412451650496009,0.10474994028214928,0.11938318485836331,437012284.27065,436198782.0,465199110.85,423440188.27065,422626686.0,451627014.85,14155776.0,0.44621273904358505,0.44548058700000004,0.47158088296500006,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,16,0,clean,yes,post_input_if,10000,91.10000000000001,0.10362155583882504,0.10418931700342851,0.11880757722923223,447490144.7745625,446460433.25,520339384.09999996,420345952.7745625,419316241.25,493195192.09999996,28311552.0,0.5085444966971063,0.5076177563250001,0.57410881209,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,41,16,16,1,noise,no,post_input_if,10000,90.83,0.10391261381519784,0.10451425236763714,0.1190757037924348,883741523.45805,882527855.0,939602964.3,856597331.45805,855383663.0,912458772.3,28311552.0,0.9011707375122451,0.9000784359,0.9514460342700002,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed41_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,4,0,clean,yes,post_input_if,10000,90.75999999999999,0.10079602858728641,0.10153044556542266,0.11586949190647482,105790999.74026406,105415585.125,123470196.2125,99004951.74106406,98629537.125,116684148.2125,7077888.0,0.12166274136695765,0.1213248682125,0.13757401819125,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,4,1,noise,no,post_input_if,10000,88.37,0.10181768500238872,0.10251886381519784,0.11694318373426259,215226767.95235702,214647949.125,229336673.7375,208440719.95315704,207861901.125,222550625.7375,7077888.0,0.22015493275784134,0.21963399581250004,0.23285384796375003,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
cifar10,vgg16,l2_wo,L2-wo,42,16,8,0,clean,yes,post_input_if,10000,90.99000000000001,0.10106377620559803,0.1017579003203687,0.11610757292603417,214660305.13335,213878153.0,249805474.61249998,201088209.13335,200306057.0,236233378.61249998,14155776.0,0.24609595782001503,0.2453920209,0.27772661035124996,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth
