method,alpha,ann_acc,snn_sigma0,snn_sigma1,drop,checkpoint
l2_wo,,86.710000,84.750000,54.680000,30.070000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_l2_wo_seed42_ep30_L16.pth
cmne_a0p1,0.1,86.630000,85.020000,55.250000,29.770000,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn2_c4_c8_L[16]_fashion_calibrated_mne_cnn2_c4_c8_cmne_a0p1_seed42_ep30_L16.pth
