model,regularizer,seed,sigma,acc,matrix_csv
fc2_h8,mne_l2,41,0.6,79.81,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.7,79.64,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.8,79.54,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,0.9,79.7,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,41,1.0,79.3,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_41/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fc2_h8,mne_l2,42,0.0,80.19,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.1,80.11,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.2,80.19,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.3,80.12,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.4,80.12,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.5,79.94,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.6,79.69,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.7,79.94,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.8,79.62,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,0.9,79.76,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,42,1.0,79.13,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_42/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fc2_h8,mne_l2,43,0.0,80.19,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.1,80.29,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.2,80.11,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.3,80.15,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.4,80.12,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.5,79.8,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.6,79.78,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.7,79.59,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fc2_h8,mne_l2,43,0.8,79.63,noise3_exp/ablation_mne_l2_vs_weight_decay_l16_fc2_h8_h16/noise_sweep_sigma_0_1_T16_rate_uniform_seed_repeat/fc2_h8/mne_l2/seed_43/noise_sweep_matrix_mnist_fc2_h8_T16_mode_rate_uniform_schedule_normal_seed_43.csv
