dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,sigma,n,acc_mean,acc_std
cifar10,weight_decay,weight_decay,weight_decay,none,none,0,5,90.194000,0.119917
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.25,5,89.750000,0.125698
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.5,5,85.142000,0.267899
cifar10,weight_decay,weight_decay,weight_decay,none,none,0.75,5,62.694000,1.488650
cifar10,weight_decay,weight_decay,weight_decay,none,none,1,5,23.010000,1.755278
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.25,5,13.052000,1.060929
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.5,5,10.878000,0.708886
cifar10,weight_decay,weight_decay,weight_decay,none,none,1.75,5,10.284000,0.335082
cifar10,weight_decay,weight_decay,weight_decay,none,none,2,5,10.102000,0.139714
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.25,5,10.016000,0.023022
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.5,5,10.004000,0.008944
cifar10,weight_decay,weight_decay,weight_decay,none,none,2.75,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,3,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.25,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.5,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,3.75,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,4,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.25,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.5,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,4.75,5,10.000000,0.000000
cifar10,weight_decay,weight_decay,weight_decay,none,none,5,5,10.000000,0.000000
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,5,90.692000,0.180194
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.25,5,90.584000,0.216633
