arch,c1,c2,size_label,regularizer,L,T,if_mode,acc_mean,acc_std,n_seeds
cnn2_c2_c4,2,4,c2c4,weight_decay,16,32,normal,90.664000,6.596312,5
cnn2_c2_c4,2,4,c2c4,weight_decay,32,2,normal,76.642000,13.824186,5
cnn2_c2_c4,2,4,c2c4,weight_decay,32,4,normal,82.412000,8.690858,5
cnn2_c2_c4,2,4,c2c4,weight_decay,32,8,normal,89.158000,6.677224,5
cnn2_c2_c4,2,4,c2c4,weight_decay,32,16,normal,90.396000,6.891011,5
cnn2_c2_c4,2,4,c2c4,weight_decay,32,32,normal,90.332000,7.286122,5
cnn2_c4_c8,4,8,c4c8,weight_decay,2,2,normal,97.756000,0.187697,5
cnn2_c4_c8,4,8,c4c8,weight_decay,2,4,normal,96.582000,1.475812,5
cnn2_c4_c8,4,8,c4c8,weight_decay,2,8,normal,97.130000,1.364386,5
cnn2_c4_c8,4,8,c4c8,weight_decay,2,16,normal,97.096000,1.479301,5
cnn2_c4_c8,4,8,c4c8,weight_decay,2,32,normal,97.116000,1.439872,5
cnn2_c4_c8,4,8,c4c8,weight_decay,4,2,normal,96.994000,1.296005,5
cnn2_c4_c8,4,8,c4c8,weight_decay,4,4,normal,98.002000,0.257624,5
cnn2_c4_c8,4,8,c4c8,weight_decay,4,8,normal,97.970000,0.531977,5
cnn2_c4_c8,4,8,c4c8,weight_decay,4,16,normal,98.130000,0.424205,5
cnn2_c4_c8,4,8,c4c8,weight_decay,4,32,normal,98.178000,0.385383,5
cnn2_c4_c8,4,8,c4c8,weight_decay,8,2,normal,95.508000,2.868174,5
cnn2_c4_c8,4,8,c4c8,weight_decay,8,4,normal,97.452000,0.309144,5
cnn2_c4_c8,4,8,c4c8,weight_decay,8,8,normal,98.066000,0.114586,5
cnn2_c4_c8,4,8,c4c8,weight_decay,8,16,normal,98.190000,0.177623,5
cnn2_c4_c8,4,8,c4c8,weight_decay,8,32,normal,98.272000,0.130652,5
cnn2_c4_c8,4,8,c4c8,weight_decay,16,2,normal,95.862000,0.751844,5
cnn2_c4_c8,4,8,c4c8,weight_decay,16,4,normal,97.010000,0.603407,5
cnn2_c4_c8,4,8,c4c8,weight_decay,16,8,normal,97.698000,0.391816,5
cnn2_c4_c8,4,8,c4c8,weight_decay,16,16,normal,97.954000,0.254814,5
cnn2_c4_c8,4,8,c4c8,weight_decay,16,32,normal,98.058000,0.265838,5
cnn2_c4_c8,4,8,c4c8,weight_decay,32,2,normal,96.066000,1.046652,5
cnn2_c4_c8,4,8,c4c8,weight_decay,32,4,normal,96.626000,1.597711,5
