dataset,variant,variant_label,regularizer,reg_coeff,hinge_tau,clean_sigma,clean_acc_mean,clean_acc_std,end_sigma,end_acc_mean,end_acc_std,absolute_drop,relative_retention
cifar10,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0,91.128000,0.181301,3,77.996000,3.226884,13.132000,0.855895
cifar10,l1,l1_rc1e-5,l1,1e-05,none,0,89.874000,0.199700,3,82.010000,0.895517,7.864000,0.912500
cifar10,old_detach,old_mne_detach_lambda,mne_l2,0.0001,none,0,90.378000,0.144983,3,86.586000,0.207798,3.792000,0.958043
cifar10,weight_decay,weight_decay,weight_decay,none,none,0,90.594000,0.132401,3,10.000000,0.000000,80.594000,0.110383
cifar10,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0,91.102000,0.073959,3,77.690000,1.974031,13.412000,0.852780
